trial,threshold,precision,recall,f1,best_iteration,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,max_delta_step,max_bin,n_estimators
1,0.515061616897583,0.12239583333333333,0.8,0.21230942970073402,142,0.17774797776157814,3,3.18723652804912,0.7434414820821628,0.7660491490698933,2.603362012357689,0.0012021050876357836,8.986981424899001,35.83530201759696,3,128,600
4,0.3834121525287628,0.12081397211985259,0.8021276595744681,0.20999860743629023,252,0.12,2,3.2885554376728017,0.8846508894006337,0.8446733733343328,3.7168960006527363,0.0005155262707122819,10.78511019910711,20.0,5,256,600
14,0.3795517385005951,0.12053785817192253,0.801063829787234,0.20954501182690968,226,0.12,3,5.219989993118698,0.8092803688674438,0.7524677570249141,3.1125973751674616,0.0015177718022580447,13.253729718259866,20.0,5,256,600
3,0.3841211497783661,0.11980323706759759,0.8031914893617021,0.20850593758630215,168,0.12,3,6.024347102087509,0.7866010181063621,0.8306014717240593,2.3770188076670133,0.0005642936063890692,11.969555481613815,20.0,5,256,600
5,0.3791351318359375,0.11980245340130635,0.8,0.2083968407925731,252,0.12,2,5.154217986051573,0.8836944018124258,0.7312142206975237,2.0852008364971644,0.0011048007978666464,7.047654089410767,20.0,3,128,600
10,0.36461979150772095,0.11789506558401,0.8031914893617021,0.2056100217864924,141,0.12,3,4.256708098884477,0.8286109448140868,0.7989118571353708,2.228909458117971,0.0028711815550003725,6.744364506957027,19.13849200909494,3,128,600
11,0.3739590048789978,0.11653494498682783,0.8,0.20343568240227242,236,0.12,2,3.801786233621624,0.65,0.766258104090566,1.2126104232103625,0.0020717422449332075,10.507887954228403,20.0,0,128,600
8,0.3864351511001587,0.11648079306071871,0.8,0.20335316387236343,141,0.12,2,2.141169914925569,0.7939623706193042,0.7602683902985198,2.864306438282444,0.0025062988498310355,13.049793340282116,20.0,0,128,600
16,0.34568992257118225,0.11634734239802225,0.801063829787234,0.20318402590393955,229,0.12,4,1.7026402601147197,0.8810092460545964,0.7625098364584734,3.7343029213588337,0.00037800651928145194,11.05387478172185,20.0,3,128,600
13,0.30045250058174133,0.1156033820138355,0.8,0.2020147750167898,400,0.12,5,3.74195035492212,0.6751139506357104,0.6853273415005932,4.2137715985330555,0.0010633880660158685,7.221444413191694,20.0,5,256,600
9,0.3567041754722595,0.11526098270319915,0.801063829787234,0.20152549177037335,143,0.12,4,1.7409538561000268,0.7244566988518715,0.7089660836337991,2.2374765872562334,0.0032024483766558247,7.64710543348286,20.0,5,128,600
2,0.35513028502464294,0.11492673992673992,0.801063829787234,0.20101441537640147,142,0.12,4,5.698450243897387,0.8026518907999719,0.6848846186474232,4.5058514189047125,0.0024796247847945177,15.090008677899684,20.0,1,256,600
15,0.360186368227005,0.11477652782000608,0.8031914893617021,0.2008512902367651,156,0.11256625485708296,3,3.955316639450121,0.6923998457819983,0.6949539868431027,1.0169738832478954,0.0015327700857993734,6.793164471638564,20.0,5,256,600
6,0.3572455644607544,0.11422087745839637,0.8031914893617021,0.2,141,0.12,4,3.683578110229547,0.843244940899514,0.8061021694703432,1.852828577885853,0.003020112365491671,15.342094210816306,20.0,3,256,600
7,0.36519816517829895,0.11304087438239258,0.8031914893617021,0.19818873867961675,117,0.12,3,2.2617545949923272,0.6534139428246952,0.6675216030200943,3.7510595223662424,0.0018986400855311072,13.999452951244617,20.0,3,128,600
12,0.29996004700660706,0.08956821696205543,0.801063829787234,0.16112121536321816,5,0.12,4,2.012659800811813,0.65,0.8584286819797962,4.237684775188117,0.0020912877123630425,8.077543320062475,20.0,1,128,600
