trial,threshold,precision,recall,f1,best_iteration,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,max_delta_step,max_bin
17,0.515061616897583,0.12239583333333333,0.8,0.21230942970073402,142,300,0.17774797776157814,3,3.18723652804912,0.7434414820821628,0.7660491490698933,2.603362012357689,0.0012021050876357836,8.986981424899001,35.83530201759696,3,128
3,0.146505206823349,0.12024304445155101,0.8,0.20906310814567697,142,300,0.13025380181430124,6,14.378120401652623,0.8940788101707774,0.6829620717606774,4.878111758183779,0.8084036890534911,0.3607923006013573,6.041632564464466,1,128
4,0.24518229067325592,0.11893088723707101,0.8,0.2070769654412777,142,300,0.17405681402412845,5,6.206939756123953,0.9379665646447906,0.8051949695895659,1.1361936089238844,0.001722099006101692,9.042579583179345,12.46136623601922,0,256
14,0.23262082040309906,0.11866813949818526,0.8,0.20667857633640235,299,300,0.053604542244114005,4,4.819996000714708,0.7118704740287312,0.9498149994323315,3.7925976491760505,0.039655113131735434,3.594576055873101,10.305425353836734,0,128
15,0.05739849805831909,0.11786833855799372,0.8,0.20546448087431693,299,300,0.03521240343704398,7,0.5883980672236295,0.8228967867355816,0.7654514243164748,0.7226209443302345,0.0,2.9944643015626586,1.9764157912328497,1,64
21,0.40357157588005066,0.11753673022819631,0.8,0.2049604796947397,97,300,0.12977440478663688,5,2.156767236762016,0.6830633338215304,0.911376363972159,1.3123025796143235,0.007786511491456129,0.3520025912170069,27.63700210608378,3,256
10,0.2854798436164856,0.11744494768077464,0.8,0.20482091788097506,115,300,0.15144240794863525,5,1.2486081738340675,0.6704059595911731,0.7484843622076988,1.467968788833418,0.11493312705113037,7.3930971625292035,14.19687271193788,1,128
11,0.05161246657371521,0.11728203537077257,0.8042553191489362,0.20471161657189277,115,300,0.14053994037627332,4,0.5464584366521066,0.6815167512714746,0.9028257727087576,2.3093861512569367,0.0,2.009645920739285,1.8372649122512288,0,128
1,0.02915262058377266,0.11667959658650116,0.8,0.2036560595802302,168,300,0.1,6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,256
9,0.0663706511259079,0.11648079306071871,0.8,0.20335316387236343,172,300,0.07332659808275323,8,9.969654693076254,0.8721514120002067,0.8437527902302986,2.796035803727068,0.0013001523511019374,1.4943928264024078,2.35601477381804,3,64
13,0.15486088395118713,0.11640866873065016,0.8,0.20324324324324325,169,300,0.11313997498098553,5,22.160094004310533,0.9225628163880282,0.9009115662056485,2.246807510718943,0.002272727032950046,12.77129065104927,6.173101170510358,1,256
16,0.12141504138708115,0.11637264004952028,0.8,0.2031883274790597,293,300,0.09033636406902014,8,1.9421885866769495,0.8568204220184958,0.6579813548603941,4.792796066207226,0.7858038041404168,0.29274534332128416,6.983377916133025,3,128
12,0.4879339933395386,0.11617488027189865,0.8,0.2028868204505598,299,300,0.06993801630597106,7,2.21979893394173,0.7555292312017567,0.870598907591611,1.8090630527669522,0.0,0.3443830752947672,46.59355596391993,1,256
20,0.17113149166107178,0.11603147662397778,0.8,0.20266810402910657,258,300,0.04099615009057189,8,0.5960350503647696,0.8022839710010633,0.9973314474195429,4.4583863312745695,1.9724895172855905,12.243998706918298,7.9417027807359055,1,64
7,0.053227074444293976,0.1156745116135979,0.8,0.20212337051471577,300,300,0.06875345730713549,3,7.739259478184358,0.7593283244837143,0.9412909304883204,4.023821787484009,0.011655126937637835,4.634693337801495,1.7473835380713982,5,256
6,0.06918608397245407,0.11516079632465544,0.8,0.201338688085676,77,300,0.18804464924846043,7,1.7887000307858647,0.7796608971122041,0.8143445339465327,0.9473567954214285,0.0,1.7882978240647318,2.474879526923045,3,256
24,0.07996878772974014,0.11275388291517324,0.8031914893617021,0.19774751178627556,292,300,0.03846811288318477,7,0.811379451181337,0.9746468928522777,0.7891523678387292,1.5047434589046986,0.28308368475628265,16.303337149492233,3.1391746365884923,5,256
8,0.04924046993255615,0.11165480427046263,0.801063829787234,0.19599167100468506,300,300,0.030421953145634072,4,10.862528211786335,0.8826977998072112,0.8968078825192173,3.9036451551098397,0.12698622828119185,0.3807360429663331,1.5799458967954405,1,256
19,0.08114338666200638,0.11165553080920564,0.8,0.19596091205211724,300,300,0.03220666728540507,3,2.133810454281344,0.9404264100963446,0.9328880152225056,1.5856944641135766,0.011915063384606708,2.1436024963219347,2.779384682379862,3,256
22,0.05189726874232292,0.10893814283644793,0.8,0.19176335585872753,300,300,0.042152368360261566,3,5.215589330771744,0.9560967142931125,0.7187521330001007,1.5516183645004737,3.9332975303264672,2.0068382410085306,1.7765498825204455,5,64
2,0.5487185716629028,0.10041065041727382,0.8063829787234043,0.17858404994699023,22,300,0.05,5,3.0,0.8,0.8,0.0,0.0,1.0,54.251401869158876,0,256
23,0.30072668194770813,0.0987411487018096,0.801063829787234,0.17581134718655148,13,300,0.046380653684101526,4,7.084215502247808,0.6926413766199859,0.8272154760672216,3.4713121782144323,0.005482316990734536,8.114822935842861,17.41044894670283,0,64
5,0.27777713537216187,0.0977048339530709,0.8106382978723404,0.17439066254720217,9,300,0.05877847291376598,3,16.457201995659478,0.9224342239758166,0.7181235477481887,2.333605018635171,0.0,0.40701365507342924,15.299864834525891,5,256
18,0.4914637506008148,0.09532780708364733,0.8074468085106383,0.17052347787014155,9,300,0.08582157415541243,3,0.7646046444339369,0.8852840325639341,0.748431824343653,3.297113173459509,0.6969538420062453,0.32848223544660154,38.791894342431036,5,64
