ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
6/1/2024,ºÏ°­¸ª(104),X,20.4,18.5,15.6,14,90.8,X, ,X,³·À½
6/1/2024,µ¿ÇØ(106),X,22.3,20.6,16.5,14.5,83.1,X, ,X,³·À½
6/1/2024,¼­¿ï(108),X,24,25.2,20.7,17.5,61.3,X, ,X,³·À½
6/1/2024,ÀÎÃµ(112),X,23.2,23.5,19.3,16.7,67.4,X, ,X,³·À½
6/1/2024,¿øÁÖ(114),X,24.4,25.8,20.5,17.7,54.5,X, ,X,³·À½
6/1/2024,¿ï¸ªµµ(115),X,21.9,20,17,14.7,88,X, ,X,³·À½
6/1/2024,¼ö¿ø(119),X,23,24,19,15.1,70,X, ,X,³·À½
6/1/2024,¿µ¿ù(121),X,24.2,24.2,18.8,15.6,69.6,X, ,X,³·À½
6/1/2024,ÃæÁÖ(127),X,24.4,25,20.1,16,57.5,X, ,X,³·À½
6/1/2024,¼­»ê(129),X,23.1,23.6,18.6,15.1,67.6,X, ,X,³·À½
6/1/2024,¿ïÁø(130),X,22.9,21.3,16.7,14.4,82.8,X, ,X,³·À½
6/1/2024,Ã»ÁÖ(131),X,24.5,25.2,20.7,17.8,55.1,X, ,X,³·À½
6/1/2024,´ëÀü(133),X,24.2,25.3,20,16.6,58.3,X, ,X,³·À½
6/1/2024,ÃßÇ³·É(135),X,23.4,24,19.4,15.9,55,X, ,X,³·À½
6/1/2024,¾Èµ¿(136),X,25.1,25.6,19.7,14.6,67.4,X, ,X,³·À½
6/1/2024,»óÁÖ(137),X,25.8,26.2,20.8,16.5,53.9,X, ,X,³·À½
6/1/2024,Æ÷Ç×(138),X,23.4,23.9,19.8,17.2,66.9,X, ,X,³·À½
6/1/2024,±º»ê(140),X,22.7,22.2,18.3,15.7,80.3,X, ,X,³·À½
