ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
9/1/2019,ºÏ°­¸ª(104),X,27.7,26.9,22.8,18.1,71.1,X, ,X,³ôÀ½
9/1/2019,µ¿ÇØ(106),X,27.2,26.7,22.1,17.8,76.3,X, ,X,³·À½
9/1/2019,¼­¿ï(108),X,27.7,27.8,23.7,19.2,64,X, ,X,³ôÀ½
9/1/2019,ÀÎÃµ(112),X,27.6,26.3,23.6,20.4,73.5,X, ,X,³ôÀ½
9/1/2019,¿øÁÖ(114),X,27.3,26.9,22.2,17.4,70.8,X, ,X,³·À½
9/1/2019,¿ï¸ªµµ(115),X,27.7,25.5,22.9,20.7,77.5,X, ,X,³·À½
9/1/2019,¼ö¿ø(119),X,28.5,28.2,23.2,18.5,78.6,X, ,X,³·À½
9/1/2019,¿µ¿ù(121),X,27.7,27,21.3,17.2,82.1,X, ,X,³·À½
9/1/2019,ÃæÁÖ(127),X,28.2,26.7,21.9,16.8,82.3,X, ,X,³·À½
9/1/2019,¼­»ê(129),X,27.3,26.6,21.3,15.7,82.1,X, ,X,³ôÀ½
9/1/2019,¿ïÁø(130),X,28.6,26.9,22.9,18.1,76.9,X, ,X,³·À½
9/1/2019,Ã»ÁÖ(131),X,28.7,28.2,23.8,19.2,73,X, ,X,³ôÀ½
9/1/2019,´ëÀü(133),X,29.3,28.3,23.5,18.9,79,X, ,X,º¸Åë
9/1/2019,ÃßÇ³·É(135),X,27.1,25.7,21.2,15.6,78.3,X, ,X,³·À½
9/1/2019,¾Èµ¿(136),X,27.6,26.3,21.9,17.7,79.3,X, ,X,º¸Åë
9/1/2019,»óÁÖ(137),X,28.3,26.2,22,17.2,85.6,X, ,X,³·À½
9/1/2019,Æ÷Ç×(138),X,28.2,26.6,23.4,21.5,79.4,X, ,X,³·À½
9/1/2019,±º»ê(140),X,28.9,28,22.6,18.6,83,X, ,X,³·À½
9/1/2019,´ë±¸(143),X,28.3,26.6,21.9,19,89.9,X, ,X,³ôÀ½
9/1/2019,ÀüÁÖ(146),X,29.7,27.8,23.4,19,86.1,X, ,X,³ôÀ½
9/1/2019,¿ï»ê(152),X,27.8,26.3,22.6,20.1,85.8,X, ,X,³ôÀ½
9/1/2019,Ã¢¿ø(155),X,28.4,26.8,22.8,20.4,82.4,X, ,X,º¸Åë
9/1/2019,±¤ÁÖ(156),X,27.4,25,22.1,19.7,88.3,X, ,X,³ôÀ½
9/1/2019,ºÎ»ê(159),X,29.4,27.7,23.7,21.4,82.4,X, ,X,º¸Åë
9/1/2019,Åë¿µ(162),X,29.2,26.9,23.1,21.2,90.5,X, ,X,³·À½
9/1/2019,¸ñÆ÷(165),X,26.4,24,22.2,21,83.1,X, ,X,º¸Åë
9/1/2019,¿©¼ö(168),X,27.4,25.5,23,21.1,84.5,X, ,X,³·À½
9/1/2019,Èæ»êµµ(169),X,,23.6,20.9,19.3,84.1,X, ,X,³·À½
9/1/2019,¿Ïµµ(170),X,27.2,25.3,22,20,88.3,X, ,X,³·À½
9/1/2019,°íÃ¢(172),X,28,26.3,21.9,17.6,84.3,X, ,X,³·À½
9/1/2019,Á¦ÁÖ(184),X,27.6,26.3,23.3,20.6,80.6,X, ,X,º¸Åë
9/1/2019,ÁøÁÖ(192),X,26.9,24.8,21.4,18.7,87.8,X, ,X,³·À½
9/1/2019,¾çÆò(202),X,27.8,27.6,22.1,17.3,75.9,X, ,X,³·À½
9/1/2019,ÀÌÃµ(203),X,28.3,27.3,21.6,15.5,81,X, ,X,³·À½
9/1/2019,ÀÎÁ¦(211),X,26.4,26.6,20.3,16,75.8,X, ,X,³·À½
9/1/2019,È«Ãµ(212),X,28.4,28.3,22,17.4,78,X, ,X,³·À½
9/1/2019,ÅÂ¹é(216),X,25.7,25.4,18.7,12.6,79,X, ,X,³·À½
9/1/2019,Á¤¼±±º(217),X,27.2,27.4,20.9,16.4,72.6,X, ,X,³·À½
9/1/2019,Á¦Ãµ(221),X,27.1,26.8,20.1,14,80.6,X, ,X,³·À½
9/1/2019,º¸Àº(226),X,29.4,28.6,21.8,16.2,83.4,X, ,X,³·À½
9/1/2019,Ãµ¾È(232),X,27.5,26.6,21,15.1,83,X, ,X,³·À½
9/1/2019,º¸·É(235),X,28.1,27,22.2,18.1,80.9,X, ,X,³·À½
9/1/2019,ºÎ¿©(236),X,28.9,28.3,22.2,17.1,82.8,X, ,X,³·À½
9/1/2019,±Ý»ê(238),X,27.8,27.5,21.7,16.2,75.3,X, ,X,³·À½
9/1/2019,¼¼Á¾(239),X,28.6,27.4,22.1,17.8,83.4,X, ,X,³ôÀ½
9/1/2019,ºÎ¾È(243),X,28.9,28.2,23,18.6,78.3,X, ,X,³·À½
9/1/2019,ÀÓ½Ç(244),X,27.2,25.7,20.7,16.3,83.1,X, ,X,³·À½
9/1/2019,Á¤À¾(245),X,27.7,26.7,22,18,79.9,X, ,X,³·À½
9/1/2019,³²¿ø(247),X,26.6,25.2,20.9,17.5,84.5,X, ,X,³·À½
9/1/2019,Àå¼ö(248),X,26.2,25.2,19.9,14.3,76.9,X, ,X,³·À½
9/1/2019,¿µ±¤±º(252),X,27.5,25.6,21.8,17.7,87,X, ,X,³·À½
9/1/2019,±èÇØ½Ã(253),X,30.3,28.6,23.4,20.8,86.9,X, ,X,³·À½
9/1/2019,¼øÃ¢±º(254),X,27.2,25.6,21.1,17.2,86.4,X, ,X,³·À½
9/1/2019,¾ç»ê½Ã(257),X,29.8,28.4,23.3,20.3,87.9,X, ,X,³·À½
9/1/2019,°­Áø±º(259),X,27,25.3,21.6,19.2,86.5,X, ,X,³·À½
9/1/2019,ÀåÈï(260),X,27,24.8,21.4,18.4,91.8,X, ,X,³·À½
9/1/2019,ÇØ³²(261),X,26.7,24.6,20.8,17.8,94.1,X, ,X,³·À½
9/1/2019,°íÈï(262),X,27.8,25.6,21.4,18.8,93.3,X, ,X,³·À½
9/1/2019,ÀÇ·É±º(263),X,26.6,24.6,21,18.4,88.9,X, ,X,³·À½
9/1/2019,ÇÔ¾ç±º(264),X,28.3,25.8,20.2,15.9,96.4,X, ,X,³·À½
9/1/2019,Áøµµ±ºASOS(268),X,26.8,24.8,21.2,19.2,88.4,X, ,X,³·À½
9/1/2019,ºÀÈ­(271),X,27.9,27.5,20.2,14.7,82.3,X, ,X,³·À½
9/1/2019,¿µÁÖ(272),X,27.4,27.1,20.8,14.5,76.5,X, ,X,³·À½
9/1/2019,¹®°æ(273),X,28.4,27.1,21.6,16.2,83.5,X, ,X,³·À½
9/1/2019,Ã»¼Û±º(276),X,28.3,26.6,20.4,15.7,90.9,X, ,X,³·À½
9/1/2019,¿µ´ö(277),X,29.8,28.7,23,18.3,74.9,X, ,X,³·À½
9/1/2019,ÀÇ¼º(278),X,28.7,28.5,22.2,16,77.5,X, ,X,³·À½
9/1/2019,±¸¹Ì(279),X,28.8,27.2,22.6,18,86.4,X, ,X,³·À½
9/1/2019,¿µÃµ(281),X,28,27.1,21.7,17.7,80,X, ,X,³·À½
9/1/2019,°æÁÖ½Ã(283),X,28.4,26.8,20.8,17.7,91,X, ,X,³·À½
9/1/2019,°ÅÃ¢(284),X,26.6,24.8,20.1,15.6,85.6,X, ,X,³·À½
9/1/2019,ÇÕÃµ(285),X,27.1,26,21,17.5,84.1,X, ,X,³·À½
9/1/2019,¹Ð¾ç(288),X,27.1,24.9,21.4,18.9,91.3,X, ,X,³·À½
9/1/2019,»êÃ»(289),X,27.4,25.7,20,17.4,92,X, ,X,³·À½
9/1/2019,°ÅÁ¦(294),X,30.3,27.5,23.3,21,94.9,X, ,X,³·À½
9/1/2019,³²ÇØ(295),X,27.7,25.7,22.4,20.4,85.6,X, ,X,³·À½
9/1/2019,ºÎÃµ(433),X,,26.6,23.1,19.1,,X, ,X,³·À½
9/1/2019,¾È¾ç(434),X,,27.8,23.6,19.6,,X, ,X,³·À½
9/1/2019,±¤¸í(437),X,,28.2,24.6,21.2,,X, ,X,³·À½
9/1/2019,±ºÆ÷(438),X,,28.6,23.5,19.2,,X, ,X,³·À½
9/1/2019,±èÆ÷(441),X,,26,21.8,17.4,,X, ,X,³·À½
9/1/2019,ÇÏ³²(444),X,,,,,,X, ,X,³·À½
9/1/2019,ÀÇ¿Õ(445),X,,25.3,20.8,16.5,,X, ,X,³·À½
9/1/2019,Æ÷Ãµ(504),X,27.5,27.1,21.2,15,73,X, ,X,³·À½
9/1/2019,°¡ÆòÁ¶Á¾(505),X,,28.1,20.5,14.4,,X, ,X,³·À½
9/1/2019,¾È¼º(516),X,28.4,26.9,21.8,16.4,82,X, ,X,³·À½
9/1/2019,°£¼º(517),X,28,26.9,22.3,16.9,78,X, ,X,³·À½
9/1/2019,ÆòÃ¢(526),X,26.2,26.2,20.5,15.2,76,X, ,X,³·À½
9/1/2019,ÀÇÁ¤ºÎ(532),X,28.6,26.9,21.9,16.6,86,X, ,X,³·À½
9/1/2019,È¾¼º(536),X,27.8,26.7,20.9,16.5,87,X, ,X,³·À½
9/1/2019,°í¾ç(540),X,29,28.5,22.3,17,77,X, ,X,³·À½
9/1/2019,³²¾çÁÖ(541),X,27.8,27.5,22.2,17.2,74,X, ,X,³·À½
9/1/2019,¾È»ê(545),X,28.2,27.8,21.3,15,84,X, ,X,³·À½
9/1/2019,°æ±â±¤ÁÖ(546),X,27.1,26.5,21.3,16.9,81,X, ,X,³·À½
9/1/2019,¿©ÁÖ(548),X,27.3,25.8,20.8,15.9,82,X, ,X,³·À½
9/1/2019,¿ëÀÎ(549),X,26.7,25.9,20.3,15.2,78,X, ,X,³·À½
9/1/2019,¿À»ê(550),X,26.9,27,22.5,17.5,67,X, ,X,³·À½
9/1/2019,ÆòÅÃ(551),X,28.3,26.8,22.4,16.5,80,X, ,X,³·À½
9/1/2019,È­Ãµ(555),X,28.1,27.7,20.7,15.9,83,X, ,X,³·À½
9/1/2019,¾ç±¸(556),X,27.4,27.6,20.1,15.4,78,X, ,X,³·À½
9/1/2019,½ÃÈï(565),X,28.6,29.3,23.2,17.7,76,X, ,X,³·À½
9/1/2019,±¸¸®(569),X,28.5,28.4,22.8,17.6,71,X, ,X,³·À½
9/1/2019,È­¼º(571),X,27.8,28,23.1,18.6,73,X, ,X,³·À½
9/1/2019,¼º³²(572),X,27.6,27.6,22.3,17.6,73,X, ,X,³ôÀ½
9/1/2019,°úÃµ(590),X,28,27.3,21.7,16.6,80,X, ,X,³·À½
9/1/2019,¾çÁÖ(598),X,28.6,27.5,21.1,15.2,81,X, ,X,³·À½
