ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
6/1/2026,ºÏ°­¸ª(104),X,27.9,29.8,24,19.3,51.5,X,°ü½É,X,³·À½
6/1/2026,µ¿ÇØ(106),X,28.5,30.5,24.4,19,48.9,X, ,X,³·À½
6/1/2026,¼­¿ï(108),X,27.2,28.7,22.9,18.3,45.4,X, ,X,³·À½
6/1/2026,ÀÎÃµ(112),X,25.1,25.4,21.7,18.3,61.9,X, ,X,³·À½
6/1/2026,¿øÁÖ(114),X,27.6,29.8,22.8,16,55.5,X, ,X,³·À½
6/1/2026,¿ï¸ªµµ(115),X,26,25.7,23.1,21.4,60.5,X, ,X,³·À½
6/1/2026,¼ö¿ø(119),X,27.2,28.8,21.8,15.6,54.6,X, ,X,³·À½
6/1/2026,¿µ¿ù(121),X,27.8,29.5,20.5,13,64.8,X, ,X,³·À½
6/1/2026,ÃæÁÖ(127),X,27.8,30,22.7,14.8,54.9,X, ,X,³·À½
6/1/2026,¼­»ê(129),X,25.4,27.2,21.7,14.8,58.3,X, ,X,³·À½
6/1/2026,¿ïÁø(130),X,29.7,32.4,24.2,19.9,55.1,X, ,X,³·À½
6/1/2026,Ã»ÁÖ(131),X,27.5,29.8,24.9,18.8,44.8,X, ,X,³·À½
6/1/2026,´ëÀü(133),X,29,30.3,24,16.8,55.4,X, ,X,³·À½
6/1/2026,ÃßÇ³·É(135),X,28.5,29.4,21.8,13.3,64.5,X, ,X,³·À½
6/1/2026,¾Èµ¿(136),X,28.5,29.9,23.4,15.3,61,X,°ü½É,X,³·À½
6/1/2026,»óÁÖ(137),X,29.4,30.4,23.3,15.6,65.1,X, ,X,³·À½
6/1/2026,Æ÷Ç×(138),X,29.5,30.6,25.3,19.9,47.6,X,°ü½É,X,³·À½
6/1/2026,±º»ê(140),X,28.9,29.4,22.9,16.1,67.3,X, ,X,³·À½
6/1/2026,´ë±¸(143),X,30.5,32.2,24.8,16.9,53.3,X,°ü½É,X,³·À½
6/1/2026,ÀüÁÖ(146),X,30.4,31.3,24.7,18.8,58.3,X, ,X,³·À½
6/1/2026,¿ï»ê(152),X,27.5,27.7,22.6,16.1,63,X, ,X,³·À½
6/1/2026,Ã¢¿ø(155),X,29.9,30,23.2,17.8,69.1,X, ,X,³·À½
6/1/2026,±¤ÁÖ(156),X,31.1,31.7,24.4,18.4,65.8,X, ,X,³·À½
6/1/2026,ºÎ»ê(159),X,27.8,27.5,23.4,20.2,62.5,X, ,X,³·À½
6/1/2026,Åë¿µ(162),X,28.2,28.1,21.7,17.6,76.6,X, ,X,³·À½
6/1/2026,¸ñÆ÷(165),X,29.1,29.1,23.3,18.2,72.6,X, ,X,³·À½
6/1/2026,¿©¼ö(168),X,27.9,27.6,22.4,19,71.4,X, ,X,³·À½
6/1/2026,Èæ»êµµ(169),X,26,24.9,19.9,16.2,81,X, ,X,³·À½
6/1/2026,¿Ïµµ(170),X,30.4,29.7,21.8,15.6,79,X, ,X,³·À½
6/1/2026,°íÃ¢(172),X,29.6,30.3,23.5,15.8,66.5,X, ,X,³·À½
6/1/2026,Á¦ÁÖ(184),X,28.1,27.7,21.8,19.3,73.3,X, ,X,³·À½
6/1/2026,ÁøÁÖ(192),X,29.3,29.2,21.8,13.3,74.3,X, ,X,³·À½
6/1/2026,¾çÆò(202),X,27.3,29,21.8,15.4,60.6,X, ,X,³·À½
