ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
5/1/2020,ºÏ°­¸ª(104),X,28.5,32.2,25.2,16.1,40.6,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,µ¿ÇØ(106),X,28.6,30.9,23.7,15.1,42.1,X, ,X,³·À½
5/1/2020,¼­¿ï(108),X,26.7,26.2,20.2,16.4,73.6,X, ,X,³ôÀ½
5/1/2020,ÀÎÃµ(112),X,22.3,21.1,17.7,15.5,82.1,X, ,X,³ôÀ½
5/1/2020,¿øÁÖ(114),X,27.2,28.3,21.7,15.7,58,X, ,X,³·À½
5/1/2020,¿ï¸ªµµ(115),X,26.3,26.6,23.1,19.3,48.8,X, ,X,³·À½
5/1/2020,¼ö¿ø(119),X,28.4,27,20.4,15.9,88.3,X, ,X,³·À½
5/1/2020,¿µ¿ù(121),X,28.4,29.8,21.1,13.1,59,X, ,X,³·À½
5/1/2020,ÃæÁÖ(127),X,28.7,29.6,21.5,14.6,65.6,X, ,X,³·À½
5/1/2020,¼­»ê(129),X,24.1,23,18.1,15.4,85.3,X, ,X,³ôÀ½
5/1/2020,¿ïÁø(130),X,30.6,32.8,26.2,18.1,41.3,X, ,X,³·À½
5/1/2020,Ã»ÁÖ(131),X,28.8,29.7,22.2,16.7,65.1,X, ,X,³ôÀ½
5/1/2020,´ëÀü(133),X,28.9,29.3,22.4,16.4,69,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,ÃßÇ³·É(135),X,28.1,29.7,21.4,10.6,56,X, ,X,³·À½
5/1/2020,¾Èµ¿(136),X,29,30.8,22.4,13.1,56,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,»óÁÖ(137),X,30.6,31.8,23,12.8,59.8,X, ,X,³·À½
5/1/2020,Æ÷Ç×(138),X,30.1,30.8,23.8,15.6,61.4,X, ,X,³·À½
5/1/2020,±º»ê(140),X,26.9,25.9,20.2,14.1,79.8,X, ,X,³·À½
5/1/2020,´ë±¸(143),X,30.8,31.3,22.7,14.3,72.3,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,ÀüÁÖ(146),X,28.6,29.1,23,16.3,61.4,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,¿ï»ê(152),X,27.9,28.4,21.9,15.6,69.6,X, ,X,³ôÀ½
5/1/2020,Ã¢¿ø(155),X,25.5,24.9,19.2,15,75.5,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,±¤ÁÖ(156),X,27.3,26.5,21.6,18.8,77.6,X, ,X,³ôÀ½
5/1/2020,ºÎ»ê(159),X,24.2,22.7,19.5,16.7,77,X, ,X,³ôÀ½
5/1/2020,Åë¿µ(162),X,24.5,22.7,18.9,16.9,81.8,X, ,X,³·À½
5/1/2020,¸ñÆ÷(165),X,25.6,24.3,19.9,17.2,77.1,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,¿©¼ö(168),X,23.5,21.5,18.4,16.4,87.1,X, ,X,³·À½
5/1/2020,Èæ»êµµ(169),X,21.2,19.1,15.5,13.1,91.4,X, ,X,³·À½
5/1/2020,¿Ïµµ(170),X,26.4,25.1,20.8,16.9,76.9,X, ,X,³·À½
5/1/2020,°íÃ¢(172),X,27.1,26.2,21.4,18,74.5,X, ,X,³·À½
5/1/2020,Á¦ÁÖ(184),X,25.5,24.6,20.5,17.4,71.4,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,ÁøÁÖ(192),X,26.4,25.5,20.7,16.8,74.1,X, ,X,³·À½
5/1/2020,¾çÆò(202),X,28,28.5,20.8,14.4,70.3,X, ,X,³·À½
5/1/2020,ÀÌÃµ(203),X,28.6,29.2,20.9,14.8,75,X, ,X,³·À½
5/1/2020,ÀÎÁ¦(211),X,27.2,27.8,21.3,14,61.3,X, ,X,³·À½
5/1/2020,È«Ãµ(212),X,27.7,28.3,20.6,13,63.8,X, ,X,³·À½
5/1/2020,ÅÂ¹é(216),X,25.7,27.5,21,13.7,49.3,X, ,X,³·À½
5/1/2020,Á¤¼±±º(217),X,28.6,29,21.7,14.4,65,X, ,X,³·À½
5/1/2020,Á¦Ãµ(221),X,27.6,28.5,20.5,13.1,64,X, ,X,³·À½
5/1/2020,º¸Àº(226),X,28,29,20.3,10.7,68.6,X, ,X,³·À½
5/1/2020,Ãµ¾È(232),X,28.3,29.1,21.7,14.8,68,X, ,X,³·À½
5/1/2020,º¸·É(235),X,24.7,23.3,19.3,17.3,79.8,X, ,X,³·À½
5/1/2020,ºÎ¿©(236),X,27.6,27,20.4,13.3,77.9,X, ,X,³·À½
5/1/2020,±Ý»ê(238),X,28.6,29.9,21.5,11.8,64.3,X, ,X,³·À½
5/1/2020,¼¼Á¾(239),X,27.7,28.3,21.8,16.1,64.6,X, ,X,¸Å¿ì³ôÀ½
5/1/2020,ºÎ¾È(243),X,27.8,27.2,21.9,17.5,72,X, ,X,³·À½
5/1/2020,ÀÓ½Ç(244),X,27.4,27.4,20.6,15.6,73.8,X, ,X,³·À½
5/1/2020,Á¤À¾(245),X,27.7,27.8,22,17.5,64.5,X, ,X,³·À½
5/1/2020,³²¿ø(247),X,28.6,28.7,21.4,16.3,70.4,X, ,X,³·À½
5/1/2020,Àå¼ö(248),X,26.6,26.7,20.5,16.9,68.9,X, ,X,³·À½
5/1/2020,¿µ±¤±º(252),X,27,25.6,21,18.2,77.8,X, ,X,³·À½
5/1/2020,±èÇØ½Ã(253),X,26.3,25.6,20,15.8,75.6,X, ,X,³·À½
5/1/2020,¼øÃ¢±º(254),X,26.8,26.3,21.4,16.5,71.5,X, ,X,³·À½
5/1/2020,¾ç»ê½Ã(257),X,26.8,26.2,20.5,17,75.1,X, ,X,³·À½
5/1/2020,°­Áø±º(259),X,27.1,26.2,20.9,18.5,74.9,X, ,X,³·À½
5/1/2020,ÀåÈï(260),X,26.4,25.5,20.4,17,76.8,X, ,X,³·À½
5/1/2020,ÇØ³²(261),X,25.4,23.8,20.6,18.7,75.1,X, ,X,³·À½
5/1/2020,°íÈï(262),X,24.9,23.6,19.4,16.7,75.9,X, ,X,³·À½
5/1/2020,ÀÇ·É±º(263),X,27.3,27.1,20.7,12.8,71.6,X, ,X,³·À½
5/1/2020,ÇÔ¾ç±º(264),X,28.7,29.7,21.1,11.5,63.9,X, ,X,³·À½
