일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
9/1/2022,북강릉(104),X,27.4,26.4,20.9,16.6,82.8,X, ,X,보통
9/1/2022,동해(106),X,26.8,25,21,17.7,89.4,X, ,X,보통
9/1/2022,서울(108),X,30.1,30.4,24,18.3,70.8,X, ,X,매우높음
9/1/2022,인천(112),X,28.6,28.3,23.9,19.6,71.9,X, ,X,매우높음
9/1/2022,원주(114),X,28,28.2,22.2,17.8,75.6,X, ,X,높음
9/1/2022,울릉도(115),X,25.1,23.1,20.7,19.2,90,X, ,X,높음
9/1/2022,수원(119),X,29.7,30.8,23.7,17.5,76.9,X, ,X,높음
9/1/2022,영월(121),X,27.4,27.4,20.4,16.1,83.6,X, ,X,높음
9/1/2022,충주(127),X,27.9,27.6,21.5,17.2,83.4,X, ,X,높음
9/1/2022,서산(129),X,29.3,28.9,22.9,18.2,78,X, ,X,매우높음
9/1/2022,울진(130),X,25.9,24.2,20.7,17.5,88.4,X, ,X,높음
9/1/2022,청주(131),X,28.7,28.5,23.5,20.1,75.1,X, ,X,높음
9/1/2022,대전(133),X,28.4,27.8,22.4,19.7,80.1,X, ,X,높음
9/1/2022,추풍령(135),X,25.6,24.1,20.2,16.7,87,X, ,X,높음
9/1/2022,안동(136),X,26.2,24.8,20.5,18.1,89.1,X, ,X,보통
9/1/2022,상주(137),X,26.8,25,21.2,18.7,91.4,X, ,X,보통
9/1/2022,포항(138),X,26.5,24.6,22.4,20,82.9,X, ,X,높음
9/1/2022,군산(140),X,28.8,28.2,23,19,81,X, ,X,높음
9/1/2022,대구(143),X,26.7,25.2,21.6,18.5,88.4,X, ,X,높음
9/1/2022,전주(146),X,27.7,26.6,22.1,19,85.5,X, ,X,높음
9/1/2022,울산(152),X,25.9,23.9,21.8,19.8,86.1,X, ,X,높음
9/1/2022,창원(155),X,25.8,24.5,22.1,19.7,79.1,X, ,X,높음
9/1/2022,광주(156),X,28.3,26.4,22.6,20.2,94.1,X, ,X,보통
9/1/2022,부산(159),X,25.5,23.1,21.9,21,86.5,X, ,X,높음
9/1/2022,통영(162),X,26.1,23.5,22,21.1,90.9,X, ,X,높음
9/1/2022,목포(165),X,26.6,24.9,22.7,20.3,85,X, ,X,보통
9/1/2022,여수(168),X,25.3,23.6,22.6,21.7,79,X, ,X,높음
9/1/2022,흑산도(169),X,26.3,24.1,22.2,20.9,91,X, ,X,보통
9/1/2022,완도(170),X,26.6,25.1,22.7,21.1,81.9,X, ,X,보통
9/1/2022,고창(172),X,27,25.4,21.9,18.5,85.6,X, ,X,보통
9/1/2022,제주(184),X,27.7,25.9,24.8,24,82.8,X, ,X,높음
9/1/2022,진주(192),X,26.9,25.3,21.9,18.2,85.9,X, ,X,높음
9/1/2022,양평(202),X,28.3,28.8,21.7,17.5,82.4,X, ,X,높음
9/1/2022,이천(203),X,29.1,29.2,22.6,16.9,81.6,X, ,X,높음
9/1/2022,인제(211),X,28.8,29,20.2,16.3,80.6,X, ,X,높음
9/1/2022,홍천(212),X,28.2,28.5,20.9,16.4,80.8,X, ,X,높음
9/1/2022,태백(216),X,24.3,23.8,17,11.8,87.4,X, ,X,높음
9/1/2022,정선군(217),X,27.2,26.8,19.4,15.8,81.5,X, ,X,높음
