일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
9/1/2025,북강릉(104),O,34.5,35,28.7,24,72.5,O,경고,X,낮음
9/1/2025,동해(106),O,34.1,35.2,28,25.2,74,O,경고,X,낮음
9/1/2025,서울(108),X,30.4,28.2,26.1,24.4,87.3,X,주의,X,낮음
9/1/2025,인천(112),X,31.7,29.4,26.2,24.2,88.8,X,주의,X,낮음
9/1/2025,원주(114),O,33.2,32.7,27.4,24.5,77.8,X,주의,X,낮음
9/1/2025,울릉도(115),X,31.7,30.2,26.9,25.6,85.4,O,주의,O,낮음
9/1/2025,수원(119),X,30,28.4,25.2,23.3,89.9,X,주의,X,낮음
9/1/2025,영월(121),X,32.9,32.4,25.8,22.8,87.8,X,주의,X,낮음
9/1/2025,충주(127),O,33.2,32.7,26.7,23.6,81.3,X,경고,X,낮음
9/1/2025,서산(129),X,30.8,28,25.7,24,95,X,주의,X,낮음
9/1/2025,울진(130),O,33.6,34.7,27.6,23.9,71.9,O,경고,X,낮음
9/1/2025,청주(131),O,33.1,33,27.6,25.3,76,X,경고,X,낮음
9/1/2025,대전(133),O,33.3,33.4,26.8,24.4,82.4,X,주의,X,낮음
9/1/2025,추풍령(135),X,32.8,32.3,25.3,22.1,86.9,X,주의,X,낮음
9/1/2025,안동(136),O,34.4,34.7,27.3,23.2,80,O,경고,X,낮음
9/1/2025,상주(137),O,34.2,33.9,26.5,23.6,85.5,O,경고,X,낮음
9/1/2025,포항(138),X,32.8,33.2,29,26.4,68.6,O,경고,O,낮음
9/1/2025,군산(140),O,33.6,32.6,27.2,24.5,84.6,O,주의,X,낮음
9/1/2025,대구(143),X,32.6,32.5,27.9,24.6,76.4,O,경고,X,낮음
9/1/2025,전주(146),O,33.6,33,27.4,23.4,80.8,O,주의,X,낮음
9/1/2025,울산(152),X,31.2,30.4,27.1,25.4,79.5,X, ,X,낮음
9/1/2025,창원(155),X,31.2,28.5,26.5,25.3,92.1,O,경고,O,낮음
9/1/2025,광주(156),O,33.4,32.4,27.5,24.4,83,O,경고,X,낮음
9/1/2025,부산(159),X,31.9,30.3,26.5,24.9,86.8,X, ,O,낮음
9/1/2025,통영(162),X,30,27.3,25.6,24.7,92.6,O,주의,X,낮음
9/1/2025,목포(165),O,33.6,32.9,28.8,26,83.5,O,주의,O,낮음
9/1/2025,여수(168),X,31.1,28.8,26.5,25.1,91.9,O,경고,O,낮음
9/1/2025,흑산도(169),O,34.9,33.6,28.5,26.2,84.5,O,경고,X,낮음
9/1/2025,완도(170),O,34.5,33.5,28.4,24.6,84.3,O,경고,O,낮음
9/1/2025,고창(172),O,33.9,33,28.1,24.7,83.5,O,경고,X,낮음
9/1/2025,제주(184),O,34.6,33.9,29.5,25.8,71,O,경고,O,낮음
9/1/2025,진주(192),X,32.2,30,26.5,24.7,90.6,O,경고,X,낮음
9/1/2025,양평(202),X,30.9,29.6,25.9,24.3,85.5,X,주의,X,낮음
9/1/2025,이천(203),X,32.7,31.2,26.3,24.8,89,X,주의,X,낮음
9/1/2025,인제(211),X,29.5,27.8,25,22.3,85.1,X,관심,X,낮음
9/1/2025,홍천(212),X,31.4,30.2,25.7,23,85.8,X,주의,X,낮음
9/1/2025,태백(216),X,29.6,29.3,25.4,22.4,70.9,X, ,X,낮음
9/1/2025,정선군(217),X,32.9,32.9,26.1,22.5,82.3,X,경고,X,낮음
9/1/2025,제천(221),X,31.6,30.5,25.2,22.6,90.6,X,주의,X,낮음
9/1/2025,보은(226),X,32.1,31.9,25.6,22.3,87,X,주의,X,낮음
9/1/2025,천안(232),X,32.4,31.2,26.2,24.2,91.3,X,주의,X,낮음
9/1/2025,보령(235),O,33.7,31.9,26.7,24.8,88.8,X,주의,X,낮음
9/1/2025,부여(236),O,33.5,32.2,26.6,24.1,87.3,X,주의,X,낮음
9/1/2025,금산(238),O,33.1,32.8,26.4,22.6,86.4,X,주의,X,낮음
9/1/2025,세종(239),X,32.3,31.2,26.3,24.2,85.1,X,주의,X,낮음
9/1/2025,부안(243),O,33.1,31.9,27.6,24.5,81.5,O,주의,X,낮음
9/1/2025,임실(244),X,32.3,30.9,25.8,23.1,87.8,O,주의,X,낮음
9/1/2025,정읍(245),O,33.8,33.2,27.7,24.8,81.4,O,경고,X,낮음
9/1/2025,남원(247),O,33,31.8,26.9,22.7,83.8,O,주의,X,낮음
9/1/2025,장수(248),X,30.5,29.6,24.8,21,86.9,X,주의,X,낮음
9/1/2025,영광군(252),O,34,33.6,27.8,24.7,80.1,O,주의,X,낮음
9/1/2025,김해시(253),X,32.6,30.2,26.8,25.1,94.1,O,경고,O,낮음
9/1/2025,순창군(254),X,32.9,32.2,27,23,83.1,O,주의,X,낮음
9/1/2025,양산시(257),X,32,29.6,27,25.6,93.9,O,경고,O,낮음
9/1/2025,강진군(259),O,33.9,32.7,27.9,24.4,87.5,O,경고,X,낮음
9/1/2025,장흥(260),O,33.1,31.3,27.3,23.7,88.8,O,경고,X,낮음
9/1/2025,해남(261),O,34.6,33.4,28.3,24.9,84.4,O,경고,X,낮음
9/1/2025,고흥(262),O,33.5,32.5,27.6,23.8,85.1,O,경고,X,낮음
9/1/2025,의령군(263),X,31.3,29.4,26.1,24,86.9,O,경고,X,낮음
9/1/2025,함양군(264),O,33,31.6,26.7,22.6,85.5,O,주의,X,낮음
9/1/2025,진도군ASOS(268),O,33.4,32.3,28,25.4,85.4,O,주의,X,낮음
9/1/2025,봉화(271),X,32,32.4,25.9,22.8,81.4,O,경고,X,낮음
9/1/2025,영주(272),X,32.2,31.9,25.7,22.5,89,O,주의,X,낮음
9/1/2025,문경(273),O,33.7,33.1,26.1,23.4,88.8,O,주의,X,낮음
9/1/2025,청송군(276),O,34.6,34.5,27.7,23.3,82.3,O,경고,X,낮음
9/1/2025,영덕(277),O,33.3,34.1,28.8,23.8,67.6,O,경고,X,낮음
9/1/2025,의성(278),O,33.4,33.8,27.8,24.2,79.9,O,경고,X,낮음
9/1/2025,구미(279),O,33.7,33.3,27.6,23.7,79.4,O,경고,X,낮음
9/1/2025,영천(281),X,32,31.6,27.4,23.9,78.3,O,경고,X,낮음
9/1/2025,경주시(283),X,32.9,32.7,27.4,24.7,79.8,O,경고,X,낮음
9/1/2025,거창(284),X,32.2,31,26.5,22.9,82.4,O,주의,X,낮음
9/1/2025,합천(285),O,33.2,32,27.4,24.6,87.4,O,경고,X,낮음
