일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
6/1/2021,북강릉(104),X,25.1,23.2,17.8,12.5,86.8,X, ,X,높음
6/1/2021,동해(106),X,22.5,20.8,16.5,12.6,89.6,X, ,X,매우높음
6/1/2021,서울(108),X,25.1,23.9,20.2,15.9,74.6,X, ,X,보통
6/1/2021,인천(112),X,23.1,22.3,19.7,15.6,62.9,X, ,X,보통
6/1/2021,원주(114),X,26.1,25.5,21,16.8,68.5,X, ,X,보통
6/1/2021,울릉도(115),X,22.4,19.8,16.6,13.3,85.4,X, ,X,매우높음
6/1/2021,수원(119),X,26.3,25.3,21.5,17.4,74.8,X, ,X,보통
6/1/2021,영월(121),X,26.6,26.2,19.7,14,75.5,X, ,X,보통
6/1/2021,충주(127),X,26.8,26.8,20.9,15.6,70.3,X, ,X,보통
6/1/2021,서산(129),X,25.7,25.8,20.8,14.8,60.5,X, ,X,매우높음
6/1/2021,울진(130),X,22.6,19.7,17.5,14.6,90.6,X, ,X,매우높음
6/1/2021,청주(131),X,26.8,27.6,22.8,17.8,59.9,X, ,X,높음
6/1/2021,대전(133),X,28,28,22.5,16.3,69.5,X, ,X,매우높음
6/1/2021,추풍령(135),X,26.6,26.2,19.6,13.3,71.3,X, ,X,매우높음
6/1/2021,안동(136),X,26.6,26.9,20.5,13.8,71.4,X, ,X,매우높음
6/1/2021,상주(137),X,27.9,27.8,20.7,14.6,75.9,X, ,X,높음
6/1/2021,포항(138),X,25.6,25.3,20.8,16.4,74.4,X, ,X,매우높음
6/1/2021,군산(140),X,26.6,27,21.3,15.1,60.9,X, ,X,매우높음
6/1/2021,대구(143),X,28,29.7,22.8,15.9,57.6,X, ,X,매우높음
6/1/2021,전주(146),X,27.8,28.5,22.8,17.6,54,X, ,X,매우높음
6/1/2021,울산(152),X,24.8,25.8,20.3,14.1,64.1,X, ,X,매우높음
6/1/2021,창원(155),X,25.3,26.4,20.3,14.2,59.6,X, ,X,매우높음
6/1/2021,광주(156),X,28.1,29.6,23.5,17.1,51.3,X, ,X,매우높음
6/1/2021,부산(159),X,25.9,26.3,21.2,16.6,57.6,X, ,X,매우높음
6/1/2021,통영(162),X,27.1,27.6,21,15.6,72.5,X, ,X,매우높음
6/1/2021,목포(165),X,27.2,28.1,22.6,17.9,57.3,X, ,X,매우높음
6/1/2021,여수(168),X,24.8,25.7,21.3,17.2,60.8,X, ,X,매우높음
6/1/2021,흑산도(169),X,26.4,25.2,19.6,16.1,79,X, ,X,매우높음
6/1/2021,완도(170),X,25.6,25.9,21.2,16.9,64.5,X, ,X,매우높음
6/1/2021,고창(172),X,27.4,29.1,22.9,17.5,50.9,X, ,X,높음
6/1/2021,제주(184),X,28,27.4,22.9,19,65,X, ,X,매우높음
6/1/2021,진주(192),X,27.6,28.7,20.7,12,66.3,X, ,X,매우높음
6/1/2021,양평(202),X,26,25.3,20.4,16.6,80.5,X, ,X,보통
6/1/2021,이천(203),X,26.6,26,21.1,16.4,78.8,X, ,X,보통
6/1/2021,인제(211),X,24.3,23.6,17.6,14.2,84.6,X, ,X,보통
6/1/2021,홍천(212),X,25.6,24.6,19,15,84.1,X, ,X,보통
6/1/2021,태백(216),X,24.1,24.5,17.8,12.1,72.4,X, ,X,높음
6/1/2021,정선군(217),X,25.4,25.1,18.6,14,76.4,X, ,X,보통
6/1/2021,제천(221),X,25.7,25.7,19.6,14.7,75.6,X, ,X,보통
6/1/2021,보은(226),X,26.7,26.4,20.2,14.4,75.5,X, ,X,높음
6/1/2021,천안(232),X,26.3,26.4,20.3,14.9,75.6,X, ,X,높음
6/1/2021,보령(235),X,25.8,26,20.8,14.6,59.5,X, ,X,매우높음
6/1/2021,부여(236),X,27.5,28.3,21.1,13.3,67,X, ,X,매우높음
6/1/2021,금산(238),X,27.3,27.5,20.7,13.8,70.4,X, ,X,매우높음
6/1/2021,세종(239),X,26.6,27.2,21.3,16.2,64.5,X, ,X,높음
6/1/2021,부안(243),X,27.3,27.9,21.8,16.4,62.9,X, ,X,매우높음
6/1/2021,임실(244),X,27.1,27.9,20.3,13.1,67.1,X, ,X,매우높음
6/1/2021,정읍(245),X,27,28.5,21.7,15.6,56.4,X, ,X,매우높음
6/1/2021,남원(247),X,27.4,29.3,22.2,15.2,60.1,X, ,X,매우높음
6/1/2021,장수(248),X,26.1,26.8,19.7,12.5,71.4,X, ,X,매우높음
6/1/2021,영광군(252),X,27.7,29.2,22,16,55.1,X, ,X,높음
6/1/2021,김해시(253),X,27.3,27.9,21.3,15.2,62.9,X, ,X,매우높음
6/1/2021,순창군(254),X,27.4,29.1,21.6,13.9,63.3,X, ,X,매우높음
6/1/2021,양산시(257),X,28.2,29.1,22.3,15.1,58.9,X, ,X,매우높음
6/1/2021,강진군(259),X,26.9,27.9,21.6,15.1,60.9,X, ,X,매우높음
6/1/2021,장흥(260),X,25.9,27,20.8,13.8,62,X, ,X,매우높음
6/1/2021,해남(261),X,27.3,28.4,22.2,17.5,59.4,X, ,X,매우높음
6/1/2021,고흥(262),X,26.4,27.4,20.6,13.9,62.5,X, ,X,매우높음
6/1/2021,의령군(263),X,28.7,30,21.5,12.5,62.1,X, ,X,매우높음
6/1/2021,함양군(264),X,28.3,29.6,20.7,12.6,66.8,X, ,X,매우높음
6/1/2021,진도군ASOS(268),X,26.5,26.7,21.9,15.2,63,X, ,X,매우높음
6/1/2021,봉화(271),X,23.6,23,16.9,11.2,79.6,X, ,X,매우높음
6/1/2021,영주(272),X,26.7,26.4,19.8,13.7,77.1,X, ,X,매우높음
6/1/2021,문경(273),X,27.3,27.1,20,14,76.6,X, ,X,높음
6/1/2021,청송군(276),X,27.5,27.5,19.4,11.8,75.4,X, ,X,매우높음
6/1/2021,영덕(277),X,24,22.7,18.5,13.6,78.3,X, ,X,매우높음
6/1/2021,의성(278),X,27.7,27.9,20.4,12.6,75.1,X, ,X,매우높음
6/1/2021,구미(279),X,28.2,28.4,21.7,15.1,66.9,X, ,X,매우높음
6/1/2021,영천(281),X,27.5,28.6,20.9,13,70.1,X, ,X,매우높음
6/1/2021,경주시(283),X,28.1,28.8,21,13.2,65.9,X, ,X,매우높음
6/1/2021,거창(284),X,28.1,28.7,20.7,12.4,69.6,X, ,X,매우높음
6/1/2021,합천(285),X,27.9,28.7,21.1,13.5,69.1,X, ,X,매우높음
6/1/2021,밀양(288),X,28.2,29.8,22.3,15.4,59.1,X, ,X,매우높음
6/1/2021,산청(289),X,28.1,28.5,20.6,12.7,66,X, ,X,매우높음
6/1/2021,거제(294),X,26.1,27.1,21.3,15.1,58.9,X, ,X,매우높음
6/1/2021,남해(295),X,26.7,27.7,21.1,14.5,58.9,X, ,X,매우높음
6/1/2021,부천(433),X,24.2,23.8,19.9,15.2,66,X, ,X,보통
6/1/2021,안양(434),X,22.9,24.4,21.4,17.7,,X, ,X,보통
6/1/2021,광명(437),X,25.4,25.2,21.4,17,64,X, ,X,보통
6/1/2021,군포(438),X,25.2,25.2,21.1,17,62,X, ,X,보통
6/1/2021,김포(441),X,,24,19.5,15.1,,X, ,X,높음
6/1/2021,하남(444),X,25.4,24.7,19.3,15.3,78,X, ,X,보통
6/1/2021,의왕(445),X,24.3,23.8,19.1,14.4,72,X, ,X,보통
6/1/2021,포천(504),X,24.1,22.4,18.3,14.4,84,X, ,X,보통
6/1/2021,가평조종(505),X,24.1,22.1,17.6,14,90,X, ,X,보통
6/1/2021,안성(516),X,26.1,26.1,21.4,16.5,69,X, ,X,보통
6/1/2021,간성(517),X,22.4,19.2,16.1,13,96,X, ,X,보통
6/1/2021,평창(526),X,25.6,25.9,18.9,13,74,X, ,X,보통
6/1/2021,의정부(532),X,25,22,18.6,14.4,94,X, ,X,보통
6/1/2021,횡성(536),X,26.2,25,19.9,14.7,83,X, ,X,보통
6/1/2021,고양(540),X,25.5,24,19.1,14.4,85,X, ,X,보통
6/1/2021,남양주(541),X,25.4,24.5,19.7,15.3,81,X, ,X,보통
6/1/2021,안산(545),X,25.9,24.9,19.4,14,79,X, ,X,보통
6/1/2021,경기광주(546),X,25.6,25,19.7,16.3,79,X, ,X,보통
6/1/2021,여주(548),X,26.4,25.6,20.4,15.6,77,X, ,X,보통
6/1/2021,용인(549),X,24.8,24.8,20.1,15.9,72,X, ,X,보통
6/1/2021,오산(550),X,26.2,26.4,21.8,17.1,61,X, ,X,보통
6/1/2021,평택(551),X,26.1,26.2,22,17,70,X, ,X,보통
6/1/2021,화천(555),X,24.5,22.4,17.8,14.7,91,X, ,X,보통
6/1/2021,양구(556),X,23.8,22.3,17.7,14.1,84,X, ,X,보통
6/1/2021,시흥(565),X,25.3,24.9,20.3,16,68,X, ,X,보통
6/1/2021,구리(569),X,25.6,25.1,20.2,15.5,72,X, ,X,보통
6/1/2021,화성(571),X,26.2,26,21.1,17.2,63,X, ,X,높음
6/1/2021,성남(572),X,25.5,25.3,20.9,16.9,69,X, ,X,보통
6/1/2021,과천(590),X,26.2,25.6,20.2,15.2,76,X, ,X,보통
6/1/2021,양주(598),X,23.9,22.5,18.2,14.3,84,X, ,X,보통
6/1/2021,단양(601),X,27.5,27.5,20.2,14.1,75,X, ,X,보통
6/1/2021,진천(602),X,27.2,27.6,21.2,16.1,70,X, ,X,보통
6/1/2021,괴산(603),X,26.6,26.9,20.3,14,75,X, ,X,보통
6/1/2021,옥천(604),X,27.4,27.7,21,15,73,X, ,X,높음
6/1/2021,홍북(608),X,27.3,26.7,20.2,13.7,65,X, ,X,높음
6/1/2021,공주(612),X,27.1,28,21.3,14.8,69,X, ,X,높음
6/1/2021,서천(614),X,25.2,26.3,20.5,13.6,60,X, ,X,매우높음
6/1/2021,논산(615),X,27.4,28.5,21.9,14.8,65,X, ,X,매우높음
6/1/2021,당진(616),X,25.8,26.3,20.6,15.2,63,X, ,X,높음
6/1/2021,청양(618),X,26.7,27.3,19.4,11.5,70,X, ,X,높음
6/1/2021,음성(619),X,26.2,26.1,19.6,13.8,76,X, ,X,보통
6/1/2021,증평(623),X,26.9,26.4,21.3,17.1,73,X, ,X,높음
6/1/2021,태안(627),X,25.7,25.1,20.6,17,62,X, ,X,매우높음
6/1/2021,예산(628),X,26.3,26.9,21.1,14.8,67,X, ,X,높음
6/1/2021,아산(634),X,27.2,28,21.6,16.3,63,X, ,X,높음
6/1/2021,계룡(636),X,27.1,27.3,19,12,78,X, ,X,매우높음
6/1/2021,연천청산(652),X,22.8,20.7,17.2,13.9,87,X, ,X,보통
6/1/2021,양양(670),X,24,20.5,17.2,13,97,X, ,X,보통
6/1/2021,무안(699),X,27.6,29.2,21.6,15.4,62,X, ,X,매우높음
6/1/2021,무주(701),X,27.1,27.7,20.3,13.8,71,X, ,X,매우높음
6/1/2021,익산(702),X,27.9,28.7,21.6,13.8,65,X, ,X,매우높음
6/1/2021,진안(703),X,26,26.7,19.5,12.5,69,X, ,X,매우높음
6/1/2021,담양(706),X,29.4,30.4,22.6,14.9,67,X, ,X,매우높음
6/1/2021,구례(709),X,28.6,29.8,21.8,13.6,68,X, ,X,매우높음
6/1/2021,나주(710),X,28.8,29.8,22.5,14.1,62,X, ,X,높음
6/1/2021,순천시(712),X,27,28.8,22.2,14.8,57,X, ,X,매우높음
6/1/2021,광양읍(713),X,28.6,29.8,21.8,13.5,61,X, ,X,매우높음
6/1/2021,장성(730),X,27.8,29.2,21.3,13.8,66,X, ,X,높음
6/1/2021,영암(731),X,28.6,29.8,23.2,18.3,57,X, ,X,높음
6/1/2021,보성(732),X,27.2,28.9,20.8,12.2,62,X, ,X,매우높음
6/1/2021,완주(734),X,28.4,28.7,21.1,13.2,69,X, ,X,매우높음
6/1/2021,김제(737),X,27,28.1,22.1,16.7,54,X, ,X,매우높음
6/1/2021,화순(741),X,28.1,29.9,22.3,14.6,56,X, ,X,높음
6/1/2021,함평(754),X,28.5,29.6,21.6,14.1,66,X, ,X,높음
6/1/2021,곡성(768),X,28,30.4,21.6,13,56,X, ,X,매우높음
6/1/2021,압해도(789),X,26.8,27.2,21.5,15.8,63,X, ,X,매우높음
6/1/2021,영양(801),X,26.6,26.6,19.7,12.5,76,X, ,X,매우높음
6/1/2021,성주(810),X,28.4,29.1,21.6,13.9,72,X, ,X,매우높음
6/1/2021,고령(812),X,27.8,29.1,20.9,13.4,72,X, ,X,매우높음
6/1/2021,청도(813),X,28,29.3,21.1,13.2,67,X, ,X,매우높음
6/1/2021,예천(815),X,26.8,26.9,20.5,13.9,70,X, ,X,매우높음
6/1/2021,김천(822),X,28.9,28.4,21.3,14.1,77,X, ,X,매우높음
6/1/2021,군위(823),X,27.6,27.3,20.4,13.4,79,X, ,X,매우높음
6/1/2021,칠곡(825),X,28,28.3,22.2,15,70,X, ,X,매우높음
6/1/2021,경산(827),X,28.7,29.9,22.2,14.8,61,X, ,X,매우높음
6/1/2021,삼척(876),X,25.5,23.9,18.4,13.7,83,X, ,X,매우높음
6/1/2021,속초(90),X,21.4,18.6,16.2,13.3,91.8,X, ,X,보통
6/1/2021,삼천포(907),X,26.3,27.2,20.6,14.4,56,X, ,X,매우높음
6/1/2021,고성(918),X,26.9,28,20.8,13.8,61,X, ,X,매우높음
6/1/2021,창녕(919),X,28.3,29.4,22,14.5,66,X, ,X,매우높음
6/1/2021,함안(920),X,28.2,29.3,21,12.6,68,X, ,X,매우높음
6/1/2021,북춘천(93),X,24.7,23.2,18.7,15.5,88.4,X, ,X,보통
6/1/2021,하동(932),X,27.7,29,21.2,13.6,63,X, ,X,매우높음
6/1/2021,철원(95),X,24.1,21,17.3,14.2,97.5,X, ,X,보통
6/1/2021,동두천(98),X,23.9,21.3,17.7,14,91.9,X, ,X,보통
6/1/2021,파주(99),X,23.1,20.8,17.4,13.8,91.6,X, ,X,보통
6/2/2021,북강릉(104),X,24.6,23.1,18.5,14.9,85.1,X, ,X,매우높음
6/2/2021,동해(106),X,23.5,21.9,17.9,15.5,88.9,X, ,X,매우높음
6/2/2021,서울(108),X,28.8,29.7,23.2,16.6,64.4,X, ,X,매우높음
6/2/2021,인천(112),X,25.9,27.4,22.4,17.5,56.3,X, ,X,매우높음
6/2/2021,원주(114),X,27.6,29.3,23.1,15.7,58.5,X, ,X,매우높음
6/2/2021,울릉도(115),X,25.6,24.1,19.7,15.6,78.6,X, ,X,매우높음
6/2/2021,수원(119),X,29.3,30,23.1,16,68.1,X, ,X,매우높음
6/2/2021,영월(121),X,28.6,30,21.6,14.9,63.9,X, ,X,높음
