일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
9/1/2023,북강릉(104),X,28,28.2,23,17.5,71.1,X, ,X,낮음
9/1/2023,동해(106),X,27.5,27,22.5,18.8,82.4,X, ,X,낮음
9/1/2023,서울(108),X,29.1,29.6,24.5,19.7,70.6,X, ,X,높음
9/1/2023,인천(112),X,28.3,28.3,24.1,20.4,73,X, ,X,높음
9/1/2023,원주(114),X,28.4,29.1,22.7,17.9,74,X, ,X,낮음
9/1/2023,울릉도(115),X,27.4,24.6,23,21.1,92,X, ,X,보통
9/1/2023,수원(119),X,28.8,29.7,23.7,18.3,72.8,X, ,X,높음
9/1/2023,영월(121),X,28.6,28.8,22.2,18.8,80.9,X, ,X,낮음
9/1/2023,충주(127),X,28.6,29.1,22.8,18.5,77.1,X, ,X,높음
9/1/2023,서산(129),X,28.8,29.5,23.3,17.4,73.5,X, ,X,매우높음
9/1/2023,울진(130),X,27.7,26.5,23.1,20.2,84.1,X, ,X,높음
9/1/2023,청주(131),X,28.6,29.8,24,18.6,68.6,X, ,X,매우높음
9/1/2023,대전(133),X,28.7,29.4,23.1,18.2,72.8,X, ,X,매우높음
9/1/2023,추풍령(135),X,28.6,28.8,22.1,18.2,79.3,X, ,X,매우높음
9/1/2023,안동(136),X,29.2,29.7,23.3,19.7,80.3,X,관심,X,보통
9/1/2023,상주(137),X,29.8,29.6,23.3,18.6,81.1,X, ,X,매우높음
9/1/2023,포항(138),X,28.7,26.9,25,23.5,82.6,X, ,X,보통
9/1/2023,군산(140),X,30.3,30,24.1,18.6,74.6,X, ,X,매우높음
9/1/2023,대구(143),X,30.4,30.2,25.8,23.1,76.6,X, ,X,보통
9/1/2023,전주(146),X,29.9,30.5,24.2,18.9,71,X, ,X,매우높음
9/1/2023,울산(152),X,27.6,25.4,23.4,22.4,91.8,X, ,X,보통
9/1/2023,창원(155),X,28.7,26.9,24.4,23.4,89.4,X, ,X,보통
9/1/2023,광주(156),X,30.3,30.1,24.6,20.3,83.5,X,관심,X,높음
9/1/2023,부산(159),X,28,25.4,24,22.8,89.9,X, ,X,보통
9/1/2023,통영(162),X,28,24.9,24.3,23.5,95.5,X, ,X,보통
9/1/2023,목포(165),X,29.6,28.7,24.2,21.3,80.6,X, ,X,보통
9/1/2023,여수(168),X,29.6,27.7,25.7,24.4,84.1,X, ,X,높음
9/1/2023,흑산도(169),X,27.9,26,23.3,21,81.4,X, ,X,매우높음
9/1/2023,완도(170),X,32.1,31.1,25.9,22.2,83.5,X,관심,X,높음
9/1/2023,고창(172),X,29.7,29.4,23.3,18.5,82.1,X, ,X,매우높음
9/1/2023,제주(184),X,28.9,26.9,25,23,83,X, ,X,높음
9/1/2023,진주(192),X,31.6,30.5,25.5,22.5,85.4,X, ,X,높음
9/1/2023,양평(202),X,28.9,29.2,22.1,18.3,81.9,X, ,X,높음
9/1/2023,이천(203),X,29.6,29.3,21.9,18.5,87.4,X, ,X,높음
9/1/2023,인제(211),X,28.3,28.9,22.1,17.7,77.3,X, ,X,낮음
9/1/2023,홍천(212),X,28.3,29,21.7,17.7,79.5,X, ,X,낮음
9/1/2023,태백(216),X,26.9,27.6,19,12,75.3,X, ,X,낮음
9/1/2023,정선군(217),X,30.6,31.3,22,16.8,75.1,X, ,X,낮음
9/1/2023,제천(221),X,28.4,28.3,21.2,16.2,85.8,X, ,X,높음
9/1/2023,보은(226),X,28.7,28.9,21.3,17.2,84.9,X, ,X,매우높음
9/1/2023,천안(232),X,28.7,29.4,22.1,17.3,81.9,X, ,X,매우높음
9/1/2023,보령(235),X,29.2,29.9,23.5,18.5,70.8,X, ,X,매우높음
9/1/2023,부여(236),X,30.2,30.3,23.1,17.5,79.8,X, ,X,매우높음
9/1/2023,금산(238),X,28.9,29.3,21.4,16.7,82.4,X, ,X,매우높음
9/1/2023,세종(239),X,29.7,29.5,22.6,18.3,81.4,X, ,X,매우높음
9/1/2023,부안(243),X,29.5,30.2,23.6,18.1,78.8,X,관심,X,매우높음
9/1/2023,임실(244),X,28.1,29.7,22.9,18.8,74.8,X,관심,X,보통
9/1/2023,정읍(245),X,29.9,30.2,23.5,19.5,77.3,X,관심,X,매우높음
9/1/2023,남원(247),X,30.3,30.5,24.5,20.8,75.9,X, ,X,보통
9/1/2023,장수(248),X,28.1,28,21.7,17.1,82.3,X, ,X,보통
9/1/2023,영광군(252),X,29.9,30.2,23.6,18.6,78.5,X, ,X,매우높음
9/1/2023,김해시(253),X,29.1,25.9,24.4,23.5,99.1,X,관심,X,보통
9/1/2023,순창군(254),X,30.5,31.2,23.9,19.1,78.5,X,관심,X,보통
9/1/2023,양산시(257),X,29.6,26.8,24.9,24,98.1,X, ,X,보통
9/1/2023,강진군(259),O,33,32.6,26.3,21.2,82.5,X,관심,X,보통
9/1/2023,장흥(260),O,33,32.6,25.9,21,85.6,O,관심,X,높음
9/1/2023,해남(261),X,31.7,30.9,25.1,20.1,86.1,O,관심,X,높음
9/1/2023,고흥(262),X,30.9,30,24.8,21.5,87.4,X, ,X,높음
9/1/2023,의령군(263),X,31.8,31.5,26.4,23.4,81.3,X,관심,X,높음
9/1/2023,함양군(264),X,30.5,31.2,24.7,19.3,82.1,X, ,X,보통
9/1/2023,진도군ASOS(268),X,29.9,29.2,24.6,20.6,79.1,X, ,X,높음
9/1/2023,봉화(271),X,27.4,27.6,20.8,16.8,82,X, ,X,높음
9/1/2023,영주(272),X,28.9,28.2,21.2,16.5,86,X, ,X,높음
9/1/2023,문경(273),X,29.9,29.4,21.9,17.3,82.9,X, ,X,매우높음
9/1/2023,청송군(276),X,30.9,30.4,23.8,20,85.9,X, ,X,보통
