일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
6/1/2022,북강릉(104),X,25.4,28.7,21.5,15.7,37.3,X, ,X,높음
6/1/2022,동해(106),X,25.1,28,20.8,16.2,46.6,X, ,X,높음
6/1/2022,서울(108),X,26.1,28.6,22.1,16.2,41.6,X, ,X,매우높음
6/1/2022,인천(112),X,23.7,25.4,20.4,16.5,48.5,X, ,X,매우높음
6/1/2022,원주(114),X,25.5,29.2,21.4,12.8,35,X, ,X,매우높음
6/1/2022,울릉도(115),X,26.7,27.4,22.4,17.5,47.9,X, ,X,높음
6/1/2022,수원(119),X,26.2,28.8,21.1,14.9,43,X, ,X,매우높음
6/1/2022,영월(121),X,25.8,30,21,10,39.3,X, ,X,높음
6/1/2022,충주(127),X,27.3,30.8,20.9,10.4,43.8,X, ,X,매우높음
6/1/2022,서산(129),X,25.1,27.4,20.6,14.9,50.5,X, ,X,매우높음
6/1/2022,울진(130),X,24,25.9,20.9,16.1,48.1,X, ,X,높음
6/1/2022,청주(131),X,27.2,31.7,23.4,15.1,29.3,X, ,X,매우높음
6/1/2022,대전(133),X,27.4,31.8,23.2,15,33.6,X, ,X,매우높음
6/1/2022,추풍령(135),X,27,30.6,21.7,11.8,37.9,X, ,X,매우높음
6/1/2022,안동(136),X,27.6,31.3,23.1,13.6,37.1,X, ,X,매우높음
6/1/2022,상주(137),X,29,33,23.6,14.1,36.4,X, ,X,매우높음
6/1/2022,포항(138),X,28.8,30.7,25,20.1,37.9,X, ,X,매우높음
6/1/2022,군산(140),X,26,27.3,20.5,14.9,54.2,X, ,X,매우높음
6/1/2022,대구(143),X,29.3,33.1,24.7,18.7,39.6,X, ,X,매우높음
6/1/2022,전주(146),X,28.3,31.2,22.5,16.6,44.6,X, ,X,매우높음
6/1/2022,울산(152),X,26.7,28.8,22.6,17.5,43.9,X, ,X,매우높음
6/1/2022,창원(155),X,26.5,29.8,22,16.7,47.3,X, ,X,매우높음
6/1/2022,광주(156),X,28.2,32.4,23.6,17.4,45.3,X, ,X,매우높음
6/1/2022,부산(159),X,25.8,27.5,22.2,18.5,47.8,X, ,X,매우높음
6/1/2022,통영(162),X,24.6,25.8,21,17.5,62.5,X, ,X,매우높음
6/1/2022,목포(165),X,25.5,27.1,21.1,17.3,56.8,X, ,X,매우높음
6/1/2022,여수(168),X,24.2,26.2,21.4,18.5,57.8,X, ,X,매우높음
6/1/2022,흑산도(169),X,26.4,25.3,18.4,15.2,83.6,X, ,X,매우높음
6/1/2022,완도(170),X,26.5,26.2,19.9,15.8,63.4,X, ,X,매우높음
6/1/2022,고창(172),X,26.8,29.4,21.5,14.9,47.8,X, ,X,매우높음
