ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
9/1/2020,ºÏ°­¸ª(104),X,29.4,27.5,23.2,19.1,87,X, ,X,º¸Åë
9/1/2020,µ¿ÇØ(106),X,27.9,25.5,22.9,20,87.3,X, ,X,³·À½
9/1/2020,¼­¿ï(108),X,31,29.5,26.6,23.8,72.4,O,°ü½É,X,³ôÀ½
9/1/2020,ÀÎÃµ(112),X,30.7,29.9,26.1,24,72.8,X,°ü½É,X,º¸Åë
9/1/2020,¿øÁÖ(114),X,30.7,30,25.7,21.4,70.5,O,ÁÖÀÇ,X,³·À½
9/1/2020,¿ï¸ªµµ(115),X,28.9,26.5,23.8,21.5,87.6,X, ,X,³·À½
9/1/2020,¼ö¿ø(119),X,31.4,29.7,26.1,23.5,79.1,O,°ü½É,X,³·À½
9/1/2020,¿µ¿ù(121),X,29.9,29,23.4,18.5,82,X,°ü½É,X,³·À½
9/1/2020,ÃæÁÖ(127),X,31.3,30.2,25.9,20.7,72.8,O,ÁÖÀÇ,X,³·À½
9/1/2020,¼­»ê(129),X,31.9,30.5,25.5,22.8,82.9,O,ÁÖÀÇ,X,º¸Åë
9/1/2020,¿ïÁø(130),X,29.1,26.8,23.7,21,85.9,X, ,X,³·À½
9/1/2020,Ã»ÁÖ(131),X,32.4,31.7,27.7,23.6,65.5,O,ÁÖÀÇ,X,º¸Åë
9/1/2020,´ëÀü(133),O,33.1,31.4,26.9,22.4,79.5,O,ÁÖÀÇ,X,º¸Åë
9/1/2020,ÃßÇ³·É(135),X,28.9,27,23.3,19.2,82.1,O,ÁÖÀÇ,X,³·À½
9/1/2020,¾Èµ¿(136),X,29.7,28.1,24.3,20.5,80.4,X,°ü½É,X,º¸Åë
9/1/2020,»óÁÖ(137),X,30.7,28.3,24.1,20.3,89.8,X,ÁÖÀÇ,X,³·À½
9/1/2020,Æ÷Ç×(138),X,29.2,27,24.9,23,83.4,X,°ü½É,X,³·À½
9/1/2020,±º»ê(140),X,32.7,31.2,26.2,22.2,83.4,O,ÁÖÀÇ,X,³·À½
9/1/2020,´ë±¸(143),X,30.4,29.4,25.6,22.9,72.6,X,ÁÖÀÇ,X,º¸Åë
9/1/2020,ÀüÁÖ(146),X,32.8,31.8,27.3,22.7,76.9,O,ÁÖÀÇ,X,º¸Åë
9/1/2020,¿ï»ê(152),X,29.7,26.9,24.8,22.5,90,X,°ü½É,O,º¸Åë
9/1/2020,Ã¢¿ø(155),X,31.6,30.2,26.4,23.1,73.4,X,ÁÖÀÇ,X,º¸Åë
9/1/2020,±¤ÁÖ(156),X,32.8,31.1,26.7,23,88,O,ÁÖÀÇ,X,º¸Åë
9/1/2020,ºÎ»ê(159),X,32.2,30.6,26.4,23.7,78.1,X,ÁÖÀÇ,O,³ôÀ½
9/1/2020,Åë¿µ(162),O,33,30.1,26.6,23.9,94.3,O,ÁÖÀÇ,X,³·À½
9/1/2020,¸ñÆ÷(165),X,32.4,31.2,27.2,24.2,77,O,ÁÖÀÇ,X,º¸Åë
9/1/2020,¿©¼ö(168),X,30.4,28.4,26.3,24.1,76.9,O,ÁÖÀÇ,O,³·À½
9/1/2020,Èæ»êµµ(169),X,32.2,30.3,25.9,23.5,87.1,X,°ü½É,X,³·À½
9/1/2020,¿Ïµµ(170),X,31.4,29.4,26.7,24.1,81.6,O,ÁÖÀÇ,X,³·À½
9/1/2020,°íÃ¢(172),O,33.2,31.6,27.1,24.3,85.9,O,ÁÖÀÇ,X,³·À½
9/1/2020,Á¦ÁÖ(184),X,31.3,28,26.8,25.6,89.6,O,ÁÖÀÇ,O,º¸Åë
