일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
9/1/2021,북강릉(104),X,23.4,20,18.7,16.7,98,X, ,X,보통
9/1/2021,동해(106),X,24.7,21,20,18.4,97.8,X, ,X,보통
9/1/2021,서울(108),X,26,23.9,21.4,18.5,83.1,X, ,X,보통
9/1/2021,인천(112),X,24.6,23.7,21.2,18.8,72.5,X, ,X,보통
9/1/2021,원주(114),X,24.7,21.7,20,18.4,91,X, ,X,보통
9/1/2021,울릉도(115),X,23.1,19.4,18.3,16.4,96.8,X, ,X,보통
9/1/2021,수원(119),X,26.1,23.5,21.4,19.3,91,X, ,X,보통
9/1/2021,영월(121),X,24.8,21.8,19.3,17.8,93.3,X, ,X,보통
9/1/2021,충주(127),X,25,22.3,20.8,19.7,89.5,X, ,X,보통
9/1/2021,서산(129),X,28,24.6,21.5,20.8,96.1,X, ,X,보통
9/1/2021,울진(130),X,24.9,22.1,20,18.3,97.8,X, ,X,보통
9/1/2021,청주(131),X,26.6,23.3,22.5,22,88.4,X, ,X,보통
9/1/2021,대전(133),X,28.7,25.1,23.1,21.2,97,X, ,X,보통
9/1/2021,추풍령(135),X,28.1,25.5,20.8,19.2,91,X, ,X,보통
9/1/2021,안동(136),X,24.2,21,19.8,18.7,93.9,X, ,X,보통
9/1/2021,상주(137),X,24.6,20.9,20,19,99.9,X, ,X,보통
9/1/2021,포항(138),X,25.5,22.5,21.4,20.1,92.9,X, ,X,보통
9/1/2021,군산(140),X,28.7,25,23.3,21.2,93.3,X, ,X,보통
9/1/2021,대구(143),X,30.4,28.2,21.9,20,90.8,X, ,X,보통
9/1/2021,전주(146),X,28.9,26.2,24.3,21.7,83.8,X,관심,X,보통
9/1/2021,울산(152),X,30.7,28.1,22.2,20.3,96.4,X, ,X,보통
9/1/2021,창원(155),X,31.5,29.3,25.6,21.6,81.8,X,관심,X,보통
9/1/2021,광주(156),X,30.4,26.5,24.5,22,97.4,X,관심,X,보통
9/1/2021,부산(159),X,30.9,28.5,24.9,20.8,86.6,X,관심,X,보통
9/1/2021,통영(162),X,31,27.9,25.7,22.3,89,X, ,X,보통
