일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
6/1/2020,북강릉(104),X,25.3,27.8,23,18.5,40.9,X, ,X,매우높음
6/1/2020,동해(106),X,25,26.7,22.7,16.5,44,X, ,X,낮음
6/1/2020,서울(108),X,23.7,24.5,19.7,16.6,64.3,X, ,X,높음
6/1/2020,인천(112),X,21.1,20.3,17.4,14.6,78.4,X, ,X,높음
6/1/2020,원주(114),X,23.6,25.5,20.1,16.2,53.1,X, ,X,낮음
6/1/2020,울릉도(115),X,25.7,25,21.2,17.9,62.9,X, ,X,낮음
6/1/2020,수원(119),X,24.2,24,18.9,14,74.3,X, ,X,낮음
6/1/2020,영월(121),X,23.5,24.8,19.8,14,55.4,X, ,X,낮음
6/1/2020,충주(127),X,24.9,26.3,19.7,13.8,60.3,X, ,X,낮음
6/1/2020,서산(129),X,24.3,23.7,18.5,14,78.8,X, ,X,보통
6/1/2020,울진(130),X,26.8,28.7,23.5,16.7,45.8,X, ,X,낮음
6/1/2020,청주(131),X,24.3,26.7,21.5,17.7,52.6,X, ,X,보통
6/1/2020,대전(133),X,25.4,26.5,21.1,16.3,60.3,X, ,X,높음
6/1/2020,추풍령(135),X,23.5,25,20,16.8,55.1,X, ,X,낮음
6/1/2020,안동(136),X,24.8,26.5,21.6,17.6,48.1,X, ,X,보통
6/1/2020,상주(137),X,25.4,26.5,21.4,17.8,56.6,X, ,X,낮음
6/1/2020,포항(138),X,27.5,29.3,24.4,20.4,46.6,X, ,X,낮음
6/1/2020,군산(140),X,23.9,22.2,18.5,14.9,85,X, ,X,낮음
6/1/2020,대구(143),X,27.1,29.1,23.6,19.9,47.8,X,관심,X,높음
6/1/2020,전주(146),X,25.3,25.4,19.5,16.1,73.9,X, ,X,높음
6/1/2020,울산(152),X,28.4,29.2,22.8,17.8,58.5,X, ,X,보통
6/1/2020,창원(155),X,29.3,30.2,22.9,17.1,58.9,X, ,X,매우높음
6/1/2020,광주(156),X,25.1,26.1,21.1,17.5,64.4,X, ,X,높음
6/1/2020,부산(159),X,26.9,25.5,22,18.3,66.9,X, ,X,높음
6/1/2020,통영(162),X,27.2,26.6,21.4,18.2,73.8,X, ,X,낮음
6/1/2020,목포(165),X,24.2,22.4,19.1,16.6,86.1,X, ,X,높음
6/1/2020,여수(168),X,26.9,27.7,22.5,18.7,60,X, ,X,낮음
6/1/2020,흑산도(169),X,23.8,21.3,17.2,14.1,91.6,X, ,X,낮음
6/1/2020,완도(170),X,26.1,25.5,20.4,16.1,74.4,X, ,X,낮음
6/1/2020,고창(172),X,24.5,24.3,18.8,14.2,83.8,X, ,X,낮음
6/1/2020,제주(184),X,23.8,21.7,18.7,16.7,83,X, ,X,매우높음
6/1/2020,진주(192),X,28.3,28.9,22.1,15.9,63.1,X, ,X,낮음
6/1/2020,양평(202),X,24.7,25.7,20.4,15.7,59.9,X, ,X,낮음
6/1/2020,이천(203),X,25.1,26.2,20.1,15.9,62.6,X, ,X,낮음
6/1/2020,인제(211),X,23.8,25.1,20.4,15,54.1,X, ,X,낮음
6/1/2020,홍천(212),X,24.4,25.7,20.3,14.7,57,X, ,X,낮음
6/1/2020,태백(216),X,22.1,22.7,18,14.7,55.6,X, ,X,낮음
6/1/2020,정선군(217),X,24.1,24.6,19.4,13.5,65.1,X, ,X,낮음
6/1/2020,제천(221),X,23.6,24.5,18.9,12.3,62.5,X, ,X,낮음
6/1/2020,보은(226),X,24.6,25.7,19.6,12.7,62.6,X, ,X,낮음
6/1/2020,천안(232),X,23.5,25.4,19.6,13.5,64,X, ,X,낮음
6/1/2020,보령(235),X,23.2,21.3,17.5,13.5,86.8,X, ,X,낮음
6/1/2020,부여(236),X,25.2,26.5,20.1,13.3,65.9,X, ,X,낮음
6/1/2020,금산(238),X,24.4,25.7,19.9,13.2,64,X, ,X,낮음
6/1/2020,세종(239),X,24.3,25.7,20.3,15.4,55.9,X, ,X,높음
6/1/2020,부안(243),X,24.4,23.5,18.8,14.6,83.9,X, ,X,낮음
6/1/2020,임실(244),X,23.9,24.2,18.3,11.4,72.9,X, ,X,낮음
6/1/2020,정읍(245),X,24.1,24.7,19.1,13.6,71.8,X, ,X,낮음
6/1/2020,남원(247),X,24.8,25.5,20.3,14,66.1,X, ,X,낮음
6/1/2020,장수(248),X,23.5,23.2,18,10.5,72.5,X, ,X,낮음
6/1/2020,영광군(252),X,23.9,24.6,18.9,14,77,X, ,X,낮음
6/1/2020,김해시(253),X,29.1,30.3,23.6,18,56.8,X, ,X,낮음
6/1/2020,순창군(254),X,23.7,24.7,19.7,13,64.3,X, ,X,낮음
6/1/2020,양산시(257),X,29.8,31.2,23.9,17.8,57.5,X, ,X,낮음
6/1/2020,강진군(259),X,25.6,25.8,20.7,15,68.9,X, ,X,낮음
6/1/2020,장흥(260),X,25.8,25.7,20.3,14.6,71.8,X, ,X,낮음
6/1/2020,해남(261),X,25.2,24.2,19.1,14,82.8,X, ,X,낮음
6/1/2020,고흥(262),X,26.3,26.7,20.6,14,70.4,X, ,X,낮음
6/1/2020,의령군(263),X,27.4,29.5,22.9,16.3,56.5,X, ,X,낮음
6/1/2020,함양군(264),X,25.2,26.5,21.5,13.1,55.6,X, ,X,낮음
6/1/2020,진도군ASOS(268),X,24.2,22.6,18.5,15.1,87.4,X, ,X,낮음
6/1/2020,봉화(271),X,22.8,23.6,18.9,11.8,59.6,X, ,X,낮음
6/1/2020,영주(272),X,23.9,25.1,20.5,17.5,52.4,X, ,X,낮음
6/1/2020,문경(273),X,24.1,25.4,20.3,14.9,54,X, ,X,낮음
6/1/2020,청송군(276),X,25.6,26.6,20.8,13.1,59.4,X, ,X,낮음
6/1/2020,영덕(277),X,26.2,27.5,22.7,18,48.1,X, ,X,낮음
6/1/2020,의성(278),X,26.2,27.7,21.3,12.2,53.5,X, ,X,낮음
