일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
5/1/2021,북강릉(104),X,14.3,11.9,9.6,7.7,90,X, ,X,보통
5/1/2021,동해(106),X,13.9,11.6,10.1,7.6,83.5,X, ,X,보통
5/1/2021,서울(108),X,15.9,15.3,10.2,8.5,80.8,X, ,X,보통
5/1/2021,인천(112),X,14.3,13.4,10.5,8.5,73.1,X, ,X,보통
5/1/2021,원주(114),X,13.5,11.2,9.5,7.9,83.9,X, ,X,보통
5/1/2021,울릉도(115),X,,13.1,10.5,9,88.5,X, ,X,보통
5/1/2021,수원(119),X,15.4,14.2,10.6,8.6,85.1,X, ,X,보통
5/1/2021,영월(121),X,13.4,10.4,8.6,7.5,91.1,X, ,X,보통
5/1/2021,충주(127),X,14,12.3,9.2,8,83.9,X, ,X,보통
5/1/2021,서산(129),X,15.1,14,10.3,8.4,75.9,X, ,X,보통
5/1/2021,울진(130),X,14.1,11.4,9.7,8.2,89.1,X, ,X,보통
5/1/2021,청주(131),X,14.6,14.3,10.6,8.7,71.6,X, ,X,보통
5/1/2021,대전(133),X,14.3,13.3,10.5,9.4,79.3,X, ,X,보통
5/1/2021,추풍령(135),X,12.5,11.5,9,7.8,71.1,X, ,X,보통
5/1/2021,안동(136),X,13.6,12.1,10,8.3,75.5,X, ,X,보통
5/1/2021,상주(137),X,15.8,14.9,10.3,8.6,76.4,X, ,X,보통
5/1/2021,포항(138),X,16.4,15.5,12.7,10.9,69.4,X, ,X,보통
5/1/2021,군산(140),X,14.2,12.8,10.7,9,76.8,X, ,X,보통
5/1/2021,대구(143),X,16.3,15.6,12.1,9.4,77.3,X, ,X,보통
5/1/2021,전주(146),X,14.9,13.6,10.3,9,78.6,X, ,X,보통
5/1/2021,울산(152),X,16.6,15.2,12.2,9.7,73.6,X, ,X,보통
5/1/2021,창원(155),X,17,16.6,11.4,8.9,65.9,X, ,X,보통
5/1/2021,광주(156),X,14.9,14.1,10.6,8.6,78.8,X, ,X,보통
5/1/2021,부산(159),X,17.3,16.6,12.2,10.1,69,X, ,X,보통
