ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
5/1/2025,ºÏ°­¸ª(104),X,22.1,23.5,17.7,13.9,49.1,X, ,X,³·À½
5/1/2025,µ¿ÇØ(106),X,23.1,24.4,18.6,13.9,49.6,X, ,X,³·À½
5/1/2025,¼­¿ï(108),X,17.1,17.6,14.7,11.3,69.6,X, ,X,³·À½
5/1/2025,ÀÎÃµ(112),X,16.6,16.8,13.3,10.3,76.6,X, ,X,³·À½
5/1/2025,¿øÁÖ(114),X,20.1,21.8,14.2,9.9,70.3,X, ,X,³·À½
5/1/2025,¿ï¸ªµµ(115),X,20.2,18.7,15.5,13.2,83.1,X, ,X,³·À½
5/1/2025,¼ö¿ø(119),X,17.6,17.7,13.1,9.3,78.8,X, ,X,³·À½
5/1/2025,¿µ¿ù(121),X,22.9,24,13.2,5.8,75.5,X, ,X,³·À½
5/1/2025,ÃæÁÖ(127),X,20.6,21.6,14.4,8.1,69.8,X, ,X,³·À½
5/1/2025,¼­»ê(129),X,18.3,18.5,13.1,9.1,79.4,X, ,X,³·À½
5/1/2025,¿ïÁø(130),X,19.7,19.9,15.7,12.7,70.1,X, ,X,³·À½
5/1/2025,Ã»ÁÖ(131),X,20.3,21.6,15.5,11.8,65.6,X, ,X,³·À½
5/1/2025,´ëÀü(133),X,20.8,21.4,14.8,10.6,77,X, ,X,³·À½
5/1/2025,ÃßÇ³·É(135),X,20.6,20.9,14.4,10,67.8,X, ,X,³·À½
5/1/2025,¾Èµ¿(136),X,23.1,24.1,15.2,8.4,70.6,X, ,X,³·À½
5/1/2025,»óÁÖ(137),X,22.4,22.4,14.5,8.5,75.1,X, ,X,³·À½
5/1/2025,Æ÷Ç×(138),X,23.4,24.5,18.4,15.1,61.9,X, ,X,³·À½
5/1/2025,±º»ê(140),X,21.3,21.3,14.7,9.1,76.8,X, ,X,³·À½
5/1/2025,´ë±¸(143),X,22.9,24.1,16.5,10.9,67.5,X, ,X,³·À½
5/1/2025,ÀüÁÖ(146),X,21.9,21.9,16.2,10.4,77.8,X, ,X,³·À½
5/1/2025,¿ï»ê(152),X,23.2,22.8,17.1,12.8,76.1,X, ,X,³·À½
5/1/2025,Ã¢¿ø(155),X,23.6,23.1,16.3,11.7,81.1,X, ,X,³·À½
5/1/2025,±¤ÁÖ(156),X,21.5,20.6,15.9,11.4,84.1,X, ,X,³·À½
5/1/2025,ºÎ»ê(159),X,21.9,20.8,16.2,13.2,83,X, ,X,³·À½
5/1/2025,Åë¿µ(162),X,21.9,20.5,15.3,11.2,88.3,X, ,X,³·À½
5/1/2025,¸ñÆ÷(165),X,20.6,20.3,15,10.3,86.8,X, ,X,³·À½
5/1/2025,¿©¼ö(168),X,21,19.2,15.6,13.5,87.1,X, ,X,³·À½
5/1/2025,Èæ»êµµ(169),X,20,18.1,13.4,10.2,91,X, ,X,³·À½
5/1/2025,¿Ïµµ(170),X,23.7,22.3,16.4,12.9,84.6,X, ,X,³·À½
5/1/2025,°íÃ¢(172),X,20.8,20.2,14.7,8.9,83.8,X, ,X,³·À½
5/1/2025,Á¦ÁÖ(184),X,22.2,22.6,16.9,13.9,68.9,X, ,X,³·À½
5/1/2025,ÁøÁÖ(192),X,22.7,21.4,14.4,7.8,89.1,X, ,X,³·À½
5/1/2025,¾çÆò(202),X,16.8,18.2,12.6,9.6,80.5,X, ,X,³·À½
5/1/2025,ÀÌÃµ(203),X,17.9,18.8,12.8,8.4,87,X, ,X,³·À½
5/1/2025,ÀÎÁ¦(211),X,16.7,18.5,11.6,6.8,81.1,X, ,X,³·À½
5/1/2025,È«Ãµ(212),X,17.3,17.9,11.7,7.8,85.6,X, ,X,³·À½
5/1/2025,ÅÂ¹é(216),X,19,19.4,13.7,10.7,57.3,X, ,X,³·À½
