ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
5/1/2019,ºÏ°­¸ª(104),X,20.8,20.8,15.4,9.4,66.6,X, ,X,³ôÀ½
5/1/2019,µ¿ÇØ(106),X,19.5,18.1,13.6,9.8,82.4,X, ,X,³·À½
5/1/2019,¼­¿ï(108),X,21.9,22.2,16.4,11.2,48.9,X, ,X,³ôÀ½
5/1/2019,ÀÎÃµ(112),X,18.6,18.5,14.2,10.7,65,X, ,X,³ôÀ½
5/1/2019,¿øÁÖ(114),X,21.3,22.8,16,9.9,55.8,X, ,X,³·À½
5/1/2019,¿ï¸ªµµ(115),X,19,16.9,13.3,11.6,87.1,X, ,X,³·À½
5/1/2019,¼ö¿ø(119),X,21.6,21.1,14.3,9.2,70.9,X, ,X,³·À½
5/1/2019,¿µ¿ù(121),X,21.9,22.6,15.7,8.5,62,X, ,X,³·À½
5/1/2019,ÃæÁÖ(127),X,21.7,22.5,14.8,7.6,62.3,X, ,X,³·À½
5/1/2019,¼­»ê(129),X,21.7,21.9,13.2,7.6,72,X, ,X,³ôÀ½
5/1/2019,¿ïÁø(130),X,20,17.6,14.7,12.4,88.5,X, ,X,³·À½
5/1/2019,Ã»ÁÖ(131),X,21.9,23,16.6,11.3,56.5,X, ,X,³ôÀ½
5/1/2019,´ëÀü(133),X,22.6,23.3,15.9,10.3,68.5,X, ,X,³ôÀ½
5/1/2019,ÃßÇ³·É(135),X,20.5,20.8,15.5,10.3,54.4,X, ,X,³·À½
5/1/2019,¾Èµ¿(136),X,22.4,23.3,16,10.1,65.5,X, ,X,³ôÀ½
5/1/2019,»óÁÖ(137),X,23.1,23.5,17.1,11.6,55.1,X, ,X,³·À½
5/1/2019,Æ÷Ç×(138),X,23.3,24.8,18,13,69.6,X, ,X,³·À½
5/1/2019,±º»ê(140),X,17.6,15.8,11.6,9.1,91.5,X, ,X,³·À½
5/1/2019,´ë±¸(143),X,22.7,24.4,17.9,10.5,54.3,X, ,X,³ôÀ½
5/1/2019,ÀüÁÖ(146),X,21.3,19.7,13.5,10.4,85.9,X, ,X,³ôÀ½
5/1/2019,¿ï»ê(152),X,23.2,23.1,17.1,12.7,72,X, ,X,³ôÀ½
5/1/2019,Ã¢¿ø(155),X,23.8,23.6,15.9,11.8,76,X, ,X,³ôÀ½
5/1/2019,±¤ÁÖ(156),X,21.8,21.5,14.4,10.2,75.5,X, ,X,³ôÀ½
5/1/2019,ºÎ»ê(159),X,22.1,20.8,17,14.3,72.1,X, ,X,³ôÀ½
5/1/2019,Åë¿µ(162),X,21.7,20.6,15.9,13.1,79.6,X, ,X,³·À½
5/1/2019,¸ñÆ÷(165),X,17.5,15.6,12.1,10.2,82.8,X, ,X,³ôÀ½
5/1/2019,¿©¼ö(168),X,21.5,22,17.3,13.9,66.1,X, ,X,³·À½
5/1/2019,Èæ»êµµ(169),X,16,12.9,11.6,10.4,87.1,X, ,X,³·À½
5/1/2019,¿Ïµµ(170),X,22.4,21.3,15.6,11.6,67.1,X, ,X,³·À½
5/1/2019,°íÃ¢(172),X,19.1,17.7,11.6,8.3,88,X, ,X,³·À½
5/1/2019,Á¦ÁÖ(184),X,20,18.6,14.7,12.4,74.6,X, ,X,³ôÀ½
5/1/2019,ÁøÁÖ(192),X,24.2,23.7,16.7,11.8,71,X, ,X,³·À½
5/1/2019,¾çÆò(202),X,22.2,23.9,16,8.4,59.5,X, ,X,³·À½
5/1/2019,ÀÌÃµ(203),X,22.5,24.7,16,9.2,51.9,X, ,X,³·À½
5/1/2019,ÀÎÁ¦(211),X,21.6,23.9,15.5,7,56,X, ,X,³·À½
5/1/2019,È«Ãµ(212),X,22.8,25.2,16,8.4,61,X, ,X,³·À½
5/1/2019,ÅÂ¹é(216),X,19.5,20.3,13.7,7.8,64.8,X, ,X,³·À½
5/1/2019,Á¤¼±±º(217),X,20.4,21.8,15.2,8.3,58.9,X, ,X,³·À½
5/1/2019,Á¦Ãµ(221),X,21.2,22.8,14.6,6.5,61,X, ,X,³·À½
5/1/2019,º¸Àº(226),X,22,22.5,15,7.7,64.1,X, ,X,³·À½
5/1/2019,Ãµ¾È(232),X,20.1,20.9,13.9,6.6,57.8,X, ,X,³·À½
5/1/2019,º¸·É(235),X,18.1,16.5,10.6,7.5,86.4,X, ,X,³·À½
5/1/2019,ºÎ¿©(236),X,22,23.1,14.1,8.6,72.5,X, ,X,³·À½
5/1/2019,±Ý»ê(238),X,21.6,21.6,14.4,9.4,70.9,X, ,X,³·À½
5/1/2019,¼¼Á¾(239),X,,,,,,X, ,X,³ôÀ½
5/1/2019,ºÎ¾È(243),X,19.1,17.3,12.1,8.5,78.3,X, ,X,³·À½
5/1/2019,ÀÓ½Ç(244),X,20.9,20.6,13.2,8.1,75,X, ,X,³·À½
5/1/2019,Á¤À¾(245),X,21.5,18.8,12.4,7.6,88.4,X, ,X,³·À½
5/1/2019,³²¿ø(247),X,21.1,21.4,14.8,9.8,63.6,X, ,X,³·À½
5/1/2019,Àå¼ö(248),X,20,20,13.8,6.5,69.9,X, ,X,³·À½
5/1/2019,¿µ±¤±º(252),X,19.3,17.5,11.6,7.9,84.4,X, ,X,³·À½
5/1/2019,±èÇØ½Ã(253),X,25.2,25.6,17.6,13.2,73.8,X, ,X,³·À½
5/1/2019,¼øÃ¢±º(254),X,21.1,21.1,14,8.8,75,X, ,X,³·À½
5/1/2019,¾ç»ê½Ã(257),X,24.7,25.6,17.4,12.2,75.4,X, ,X,³·À½
5/1/2019,°­Áø±º(259),X,21.6,20.9,14.6,10.6,67.5,X, ,X,³·À½
5/1/2019,ÀåÈï(260),X,22.7,22.5,15,10.5,71.4,X, ,X,³·À½
5/1/2019,ÇØ³²(261),X,20.2,18.9,12.6,8.7,80.6,X, ,X,³·À½
5/1/2019,°íÈï(262),X,22.3,22.5,15.9,11.2,69,X, ,X,³·À½
5/1/2019,ÀÇ·É±º(263),X,25.5,26,17.5,12,66.3,X, ,X,³·À½
5/1/2019,ÇÔ¾ç±º(264),X,23.3,23.4,16.6,10.5,68.1,X, ,X,³·À½
5/1/2019,Áøµµ±ºASOS(268),X,18.3,16.3,12.3,9.5,82.9,X, ,X,³·À½
5/1/2019,ºÀÈ­(271),X,21.4,22.6,14.8,8.7,66.3,X, ,X,³·À½
5/1/2019,¿µÁÖ(272),X,20.8,21.6,15.9,9.5,62,X, ,X,³·À½
5/1/2019,¹®°æ(273),X,22.1,23.1,17.2,10.3,53.9,X, ,X,³·À½
5/1/2019,Ã»¼Û±º(276),X,22.7,22.7,14.2,8.7,80.1,X, ,X,³·À½
5/1/2019,¿µ´ö(277),X,24.2,25,16.3,10.9,79.5,X, ,X,³·À½
5/1/2019,ÀÇ¼º(278),X,23.3,25.1,15.6,9.6,69,X, ,X,³·À½
5/1/2019,±¸¹Ì(279),X,23.6,24.1,17.5,12.1,62,X, ,X,³·À½
5/1/2019,¿µÃµ(281),X,23,24.7,16.5,10.1,,X, ,X,³·À½
5/1/2019,°æÁÖ½Ã(283),X,23.8,24.1,16.5,11.2,71.9,X, ,X,³·À½
5/1/2019,°ÅÃ¢(284),X,22.4,23.1,16,10.2,66.9,X, ,X,³·À½
5/1/2019,ÇÕÃµ(285),X,23.7,25.1,17.2,11.7,61.8,X, ,X,³·À½
5/1/2019,¹Ð¾ç(288),X,22.9,24.5,16.7,11.1,62.9,X, ,X,³·À½
5/1/2019,»êÃ»(289),X,23.1,23.9,17.5,12.7,60.9,X, ,X,³·À½
5/1/2019,°ÅÁ¦(294),X,23.6,22.2,16.7,12.4,81.3,X, ,X,³·À½
5/1/2019,³²ÇØ(295),X,23.8,23.9,17.3,12.3,68.8,X, ,X,³·À½
5/1/2019,ºÎÃµ(433),X,,20.5,15.7,11.1,,X, ,X,³·À½
5/1/2019,¾È¾ç(434),X,,19,14.6,9.9,62,X, ,X,³·À½
5/1/2019,±¤¸í(437),X,,21.4,16.1,11.7,,X, ,X,³·À½
5/1/2019,±ºÆ÷(438),X,,21.3,15.6,10.5,,X, ,X,³·À½
5/1/2019,±èÆ÷(441),X,,20.4,15,8.5,,X, ,X,³·À½
5/1/2019,ÇÏ³²(444),X,,,15.1,,,X, ,X,³·À½
5/1/2019,ÀÇ¿Õ(445),X,,19.7,12.7,7.2,,X, ,X,³·À½
5/1/2019,Æ÷Ãµ(504),X,22.5,24.8,16.5,8.3,51,X, ,X,³·À½
5/1/2019,°¡ÆòÁ¶Á¾(505),X,,23.6,15.6,6.8,,X, ,X,³·À½
5/1/2019,¾È¼º(516),X,21.6,21.2,14.7,7.7,66,X, ,X,³·À½
5/1/2019,°£¼º(517),X,21.3,21.1,15.1,8.5,75,X, ,X,³·À½
5/1/2019,ÆòÃ¢(526),X,20.7,22,14.4,6.7,63,X, ,X,³·À½
5/1/2019,ÀÇÁ¤ºÎ(532),X,23.1,23.6,15.8,8.5,63,X, ,X,³·À½
5/1/2019,È¾¼º(536),X,24,25.1,15.3,7,71,X, ,X,³·À½
5/1/2019,°í¾ç(540),X,24.1,24.3,16,8.4,58,X, ,X,³·À½
5/1/2019,³²¾çÁÖ(541),X,23.5,24.6,15.9,8.9,63,X, ,X,³·À½
5/1/2019,¾È»ê(545),X,20.5,19.6,12.3,6.6,81,X, ,X,³·À½
5/1/2019,°æ±â±¤ÁÖ(546),X,21.8,23,15,8.2,59,X, ,X,³·À½
5/1/2019,¿©ÁÖ(548),X,22.7,24,15.5,8.1,60,X, ,X,³·À½
5/1/2019,¿ëÀÎ(549),X,21.2,21.6,13.9,7.5,65,X, ,X,³·À½
5/1/2019,¿À»ê(550),X,21,21.6,14.2,8.5,55,X, ,X,³·À½
5/1/2019,ÆòÅÃ(551),X,21.2,21,14.7,8.5,63,X, ,X,³·À½
5/1/2019,È­Ãµ(555),X,23.3,25.9,16.4,7.6,59,X, ,X,³·À½
5/1/2019,¾ç±¸(556),X,22.4,24.8,16,6.8,56,X, ,X,³·À½
5/1/2019,½ÃÈï(565),X,20,19.3,13.2,8.8,74,X, ,X,³·À½
5/1/2019,±¸¸®(569),X,23,23.8,16.1,9.4,56,X, ,X,³·À½
5/1/2019,È­¼º(571),X,19.8,19.4,13.3,8.5,65,X, ,X,³·À½
5/1/2019,¼º³²(572),X,22,22.8,15.4,8.9,62,X, ,X,³ôÀ½
5/1/2019,°úÃµ(590),X,22,22.8,14.9,7.8,55,X, ,X,³·À½
5/1/2019,¾çÁÖ(598),X,22.5,23.3,15.7,8.1,57,X, ,X,³·À½
5/1/2019,´Ü¾ç(601),X,22.7,22.9,16.2,9.7,69,X, ,X,³·À½
5/1/2019,ÁøÃµ(602),X,21.1,22.2,15.2,8,50,X, ,X,³·À½
5/1/2019,±«»ê(603),X,21.7,22.8,14.5,6.9,62,X, ,X,³·À½
5/1/2019,¿ÁÃµ(604),X,22.9,22.7,15.4,8.8,73,X, ,X,³·À½
5/1/2019,È«ºÏ(608),X,23.8,23.5,13.4,7,79,X, ,X,³·À½
5/1/2019,°øÁÖ(612),X,22.3,23.6,14.8,7.7,66,X, ,X,³·À½
5/1/2019,¼­Ãµ(614),X,18,16.2,11.8,7.7,85,X, ,X,³·À½
5/1/2019,³í»ê(615),X,22.4,21.3,14.1,8.8,80,X, ,X,³·À½
5/1/2019,´çÁø(616),X,20.9,20.7,13.6,8.5,66,X, ,X,³·À½
5/1/2019,Ã»¾ç(618),X,21.7,21.3,12.1,5.6,79,X, ,X,³·À½
5/1/2019,À½¼º(619),X,22,22.5,14.5,7.4,64,X, ,X,³·À½
5/1/2019,ÁõÆò(623),X,21.6,22.5,14.9,7.8,66,X, ,X,³·À½
5/1/2019,ÅÂ¾È(627),X,20.4,19.4,12.4,8.3,75,X, ,X,³·À½
5/1/2019,¿¹»ê(628),X,21.9,22.5,14.6,8.7,70,X, ,X,³·À½
5/1/2019,¾Æ»ê(634),X,20.9,21.7,13.7,7.9,64,X, ,X,³·À½
5/1/2019,°è·æ(636),X,21.8,22.6,13.2,6.2,73,X, ,X,³·À½
5/1/2019,¿¬ÃµÃ»»ê(652),X,22.6,24.3,16.1,8.1,55,X, ,X,³·À½
5/1/2019,¾ç¾ç(670),X,23.9,23,15.9,8,77,X, ,X,³·À½
5/1/2019,¹«¾È(699),X,18.9,17,11.7,8.5,89,X, ,X,³·À½
5/1/2019,¹«ÁÖ(701),X,22.6,22.7,15.1,8.3,77,X, ,X,³·À½
5/1/2019,ÀÍ»ê(702),X,21.5,19.9,12.9,8.1,87,X, ,X,³·À½
5/1/2019,Áø¾È(703),X,20.2,19.4,12.5,6.6,83,X, ,X,³·À½
5/1/2019,´ã¾ç(706),X,23.4,22.4,13.7,7.3,84,X, ,X,³·À½
5/1/2019,±¸·Ê(709),X,22.4,22.9,16.3,9.5,57,X, ,X,³·À½
