일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
6/1/2023,북강릉(104),X,26.3,27.1,21.8,17.9,63,X, ,X,높음
6/1/2023,동해(106),X,25,25.3,19.7,14.8,70.3,X, ,X,높음
6/1/2023,서울(108),X,26.7,26.3,22.8,19.7,66.9,X, ,X,보통
6/1/2023,인천(112),X,25.4,24.9,21.1,18,74.8,X, ,X,보통
6/1/2023,원주(114),X,25.5,26.1,22,17.6,63.4,X, ,X,보통
6/1/2023,울릉도(115),X,24.1,23.3,19.2,16,78.9,X, ,X,보통
6/1/2023,수원(119),X,26.1,26,21.7,17.8,71.6,X, ,X,높음
6/1/2023,영월(121),X,26.9,27.6,20.4,14.1,64.8,X, ,X,높음
6/1/2023,충주(127),X,26.8,27.3,21.9,15.8,64.8,X, ,X,보통
6/1/2023,서산(129),X,27,26.6,21.3,17.6,75.5,X, ,X,높음
6/1/2023,울진(130),X,23.3,22.4,19.2,15.2,62.4,X, ,X,보통
6/1/2023,청주(131),X,27.1,27.4,23.5,19.5,61.6,X, ,X,보통
6/1/2023,대전(133),X,27.2,28,22.4,17.5,63.9,X, ,X,보통
6/1/2023,추풍령(135),X,24.3,24,18.8,13.1,74.6,X, ,X,높음
6/1/2023,안동(136),X,24.8,25.1,19.5,13.1,66.1,X, ,X,보통
6/1/2023,상주(137),X,25.8,25.5,20.1,14.3,71,X, ,X,보통
6/1/2023,포항(138),X,21.9,22.2,18,14,76.9,X, ,X,보통
6/1/2023,군산(140),X,26.4,26.4,20.7,17.8,82.1,X, ,X,높음
6/1/2023,대구(143),X,22.4,21.1,18.6,13.8,77,X, ,X,높음
6/1/2023,전주(146),X,25.1,25,21.4,18.5,72.1,X, ,X,보통
6/1/2023,울산(152),X,21.3,20.4,16.3,12.8,87.4,X, ,X,높음
6/1/2023,창원(155),X,20.7,18.5,17.1,14.5,82.1,X, ,X,보통
6/1/2023,광주(156),X,23.2,21.1,19,17.5,91.4,X, ,X,보통
6/1/2023,부산(159),X,21.9,20.7,18.2,16.2,77.5,X, ,X,높음
6/1/2023,통영(162),X,20.8,18.9,17.6,16.5,88.9,X, ,X,보통
6/1/2023,목포(165),X,23.7,21.2,19.8,18.2,82.9,X, ,X,보통
6/1/2023,여수(168),X,21.2,18.8,18.1,16.5,81,X, ,X,보통
6/1/2023,흑산도(169),X,22.4,19.5,17.1,15.9,96.1,X, ,X,보통
6/1/2023,완도(170),X,22.4,19.6,18.9,17.9,89.9,X, ,X,보통
6/1/2023,고창(172),X,23.9,22.8,19.9,16.5,76.4,X, ,X,보통
6/1/2023,제주(184),X,26.8,25,20.7,19.6,94.3,X, ,X,매우높음
6/1/2023,진주(192),X,20.4,17.7,16.1,12.3,92.4,X, ,X,보통
6/1/2023,양평(202),X,26.3,26.2,22,17.7,69.4,X, ,X,높음
6/1/2023,이천(203),X,26.8,26.1,22.1,17.9,77.9,X, ,X,높음
6/1/2023,인제(211),X,25.5,25.5,20.3,16.4,73.6,X, ,X,보통
6/1/2023,홍천(212),X,25.9,26.1,21.2,16.4,70.5,X, ,X,보통
6/1/2023,태백(216),X,25.4,26.4,18.8,10.9,61.5,X, ,X,높음
6/1/2023,정선군(217),X,26.2,26.6,19.6,13.2,71,X, ,X,높음
6/1/2023,제천(221),X,26.1,26.4,20.5,14.8,68.8,X, ,X,보통
6/1/2023,보은(226),X,25.6,25.7,20.2,14.5,74,X, ,X,보통
6/1/2023,천안(232),X,26.5,26.4,21.5,16.2,78.6,X, ,X,높음
6/1/2023,보령(235),X,25.8,24.5,20.5,17.6,81.9,X, ,X,높음
6/1/2023,부여(236),X,27.5,27,22,18.2,78.1,X, ,X,보통
6/1/2023,금산(238),X,25.1,25.2,20.3,15.2,77.1,X, ,X,보통
6/1/2023,세종(239),X,26.6,26,21.7,17.3,73.5,X, ,X,높음
6/1/2023,부안(243),X,25.3,24.9,21.1,18.3,80.6,X, ,X,보통
6/1/2023,임실(244),X,22.7,21,18,14.6,87.4,X, ,X,보통
6/1/2023,정읍(245),X,24.4,23.2,20.5,16.6,77.3,X, ,X,보통
6/1/2023,남원(247),X,22.1,20.8,18,15.8,89.5,X, ,X,보통
6/1/2023,장수(248),X,23.1,21.2,17.7,12.4,84.3,X, ,X,높음
6/1/2023,영광군(252),X,24.2,22.3,19.9,16.3,86.4,X, ,X,보통
6/1/2023,김해시(253),X,21.4,20.1,17.1,14.3,87,X, ,X,보통
6/1/2023,순창군(254),X,22.5,20.3,17.8,15.6,92.4,X, ,X,보통
6/1/2023,양산시(257),X,21.8,21.1,17.3,13.6,87.4,X, ,X,보통
6/1/2023,강진군(259),X,22.9,20.3,18.8,16.7,88.6,X, ,X,보통
6/1/2023,장흥(260),X,22.8,19.7,18.2,16,98.3,X, ,X,보통
6/1/2023,해남(261),X,23.4,20.7,19.6,16.9,88.9,X, ,X,보통
