ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
6/1/2025,ºÏ°­¸ª(104),X,21.4,19.8,16.4,12.8,84.9,X, ,X,³·À½
6/1/2025,µ¿ÇØ(106),X,21.1,19.8,16.5,12,81.8,X, ,X,³·À½
6/1/2025,¼­¿ï(108),X,27.9,29.3,22.6,17,57.8,X, ,X,³·À½
6/1/2025,ÀÎÃµ(112),X,24.7,24.7,19.6,15.7,71.9,X, ,X,³·À½
6/1/2025,¿øÁÖ(114),X,27.8,30.2,22.5,14.3,55.5,X, ,X,³·À½
6/1/2025,¿ï¸ªµµ(115),X,21.1,19.4,16.5,13.8,84.8,X, ,X,³·À½
6/1/2025,¼ö¿ø(119),X,26.8,27.7,20.3,14.2,65.9,X, ,X,³·À½
6/1/2025,¿µ¿ù(121),X,28,31,20.6,10.1,59.9,X, ,X,³·À½
6/1/2025,ÃæÁÖ(127),X,27.6,29.6,21,12.8,61.3,X, ,X,³·À½
6/1/2025,¼­»ê(129),X,25.8,27.2,19.7,12.9,60.5,X, ,X,³·À½
6/1/2025,¿ïÁø(130),X,21.5,20.1,16.4,11,84.6,X, ,X,³·À½
6/1/2025,Ã»ÁÖ(131),X,27.7,29.8,23,16.2,48.3,X, ,X,³·À½
6/1/2025,´ëÀü(133),X,27.8,29.8,22.4,14.9,56.8,X, ,X,³·À½
6/1/2025,ÃßÇ³·É(135),X,26.8,28.6,21.2,12.5,59,X, ,X,³·À½
6/1/2025,¾Èµ¿(136),X,27.4,30.5,21.8,12,57.8,X, ,X,³·À½
6/1/2025,»óÁÖ(137),X,28.7,30.6,22.8,14.1,60.8,X, ,X,³·À½
6/1/2025,Æ÷Ç×(138),X,21.2,19.5,17.6,14.4,76.1,X, ,X,³·À½
6/1/2025,±º»ê(140),X,26.1,25.8,20,14,70,X, ,X,³·À½
6/1/2025,´ë±¸(143),X,27.7,31.4,22.2,13.2,54.4,X, ,X,³·À½
6/1/2025,ÀüÁÖ(146),X,28.1,29.5,21.7,14.6,61,X, ,X,³·À½
6/1/2025,¿ï»ê(152),X,24.7,24.9,18.5,12.2,64.6,X, ,X,³·À½
6/1/2025,Ã¢¿ø(155),X,26.5,26.9,20.6,15.6,65.4,X, ,X,³·À½
6/1/2025,±¤ÁÖ(156),X,28.1,29.2,22.1,15.3,61.9,X, ,X,³·À½
6/1/2025,ºÎ»ê(159),X,24.2,23.9,20.5,16.6,62.5,X, ,X,³·À½
6/1/2025,Åë¿µ(162),X,23.9,23.1,18.9,14.6,78,X, ,X,³·À½
6/1/2025,¸ñÆ÷(165),X,25.6,26,19.9,15.2,75,X, ,X,³·À½
6/1/2025,¿©¼ö(168),X,25.2,24.5,20.5,16.8,75.4,X, ,X,³·À½
6/1/2025,Èæ»êµµ(169),X,24.5,23.6,18.6,14.7,62.4,X, ,X,³·À½
6/1/2025,¿Ïµµ(170),X,28.3,29.3,20.8,14.6,65.9,X, ,X,³·À½
6/1/2025,°íÃ¢(172),X,27.6,28.4,19.9,12.6,71.4,X, ,X,³·À½
6/1/2025,Á¦ÁÖ(184),X,23.6,23.5,20.1,16.1,66,X, ,X,³·À½
6/1/2025,ÁøÁÖ(192),X,27.5,28.4,20.6,13,73.3,X, ,X,³·À½
6/1/2025,¾çÆò(202),X,27.5,29.7,21.7,13.9,59.8,X, ,X,³·À½
6/1/2025,ÀÌÃµ(203),X,28.7,30.1,21.8,13,61.6,X, ,X,³·À½
6/1/2025,ÀÎÁ¦(211),X,27.1,29.3,20.1,10.1,59.4,X, ,X,³·À½
6/1/2025,È«Ãµ(212),X,27.3,30,21,11.8,61.3,X, ,X,³·À½
6/1/2025,ÅÂ¹é(216),X,25,26.7,18.2,7.2,60,X, ,X,³·À½
6/1/2025,Á¤¼±±º(217),X,28.5,31.2,19.9,8,57.5,X, ,X,³·À½
6/1/2025,Á¦Ãµ(221),X,26.9,28.2,19.9,12,68.5,X, ,X,³·À½
6/1/2025,º¸Àº(226),X,27,28.6,20.5,12.1,66.8,X, ,X,³·À½
6/1/2025,Ãµ¾È(232),X,27.5,28.7,20.5,11.7,62.6,X, ,X,³·À½
6/1/2025,º¸·É(235),X,24.6,25.2,19.3,13.4,69,X, ,X,³·À½
6/1/2025,ºÎ¿©(236),X,27.7,29.1,20.8,12.5,65.8,X, ,X,³·À½
6/1/2025,±Ý»ê(238),X,27.5,29.9,21.2,12.7,64.6,X, ,X,³·À½
6/1/2025,¼¼Á¾(239),X,27.2,29.3,21.4,13.8,64.3,X, ,X,³·À½
6/1/2025,ºÎ¾È(243),X,26.6,27.4,19.9,13.5,64.6,X, ,X,³·À½
6/1/2025,ÀÓ½Ç(244),X,26.7,28.6,20.2,11,67.5,X, ,X,³·À½
6/1/2025,Á¤À¾(245),X,28.6,29.9,20.6,12.4,63.9,X, ,X,³·À½
6/1/2025,³²¿ø(247),X,27.8,29.4,21.4,12.7,67.3,X, ,X,³·À½
6/1/2025,Àå¼ö(248),X,26.4,27.4,19,10.5,70.9,X, ,X,³·À½
6/1/2025,¿µ±¤±º(252),X,27.4,27.7,19.9,12.6,71,X, ,X,³·À½
6/1/2025,±èÇØ½Ã(253),X,27.1,27,20.3,13.9,70.4,X, ,X,³·À½
6/1/2025,¼øÃ¢±º(254),X,27.4,29.8,21,11.7,63.6,X, ,X,³·À½
6/1/2025,¾ç»ê½Ã(257),X,27.7,28.4,20.8,13,67,X, ,X,³·À½
6/1/2025,°­Áø±º(259),X,27.2,27.8,20.6,13.2,68,X, ,X,³·À½
6/1/2025,ÀåÈï(260),X,27.2,28.1,20.2,13.1,68.9,X, ,X,³·À½
6/1/2025,ÇØ³²(261),X,27.1,28.5,19.9,13,70.1,X, ,X,³·À½
6/1/2025,°íÈï(262),X,27.4,27.5,19.9,12.8,71,X, ,X,³·À½
6/1/2025,ÀÇ·É±º(263),X,27.4,28.6,20.1,10.8,66.6,X, ,X,³·À½
6/1/2025,ÇÔ¾ç±º(264),X,27.2,30,20.7,11.6,59.9,X, ,X,³·À½
6/1/2025,Áøµµ±ºASOS(268),X,25.6,26.4,19.2,11.8,69.3,X, ,X,³·À½
6/1/2025,ºÀÈ­(271),X,26.9,28.6,18.8,8.2,67.6,X, ,X,³·À½
6/1/2025,¿µÁÖ(272),X,27.6,29,20.6,11.7,64.3,X, ,X,³·À½
