ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
5/1/2026,ºÏ°­¸ª(104),X,21.3,21.5,15.8,11.4,65.9,X, ,X,³·À½
5/1/2026,µ¿ÇØ(106),X,19.5,21.5,15.2,12.6,70.4,X, ,X,³·À½
5/1/2026,¼­¿ï(108),X,22.5,24.3,17.8,13.6,43.5,X, ,X,³·À½
5/1/2026,ÀÎÃµ(112),X,19.4,20.4,15.6,12.6,55.9,X, ,X,³·À½
5/1/2026,¿øÁÖ(114),X,22.6,24.9,17.2,11.5,42.9,X, ,X,³·À½
5/1/2026,¿ï¸ªµµ(115),X,15.6,14.8,11.9,10.1,81.3,X, ,X,³·À½
5/1/2026,¼ö¿ø(119),X,19.1,20.4,15.3,11.3,52.4,X, ,X,³·À½
5/1/2026,¿µ¿ù(121),X,22.2,24.9,16.2,10.8,45.8,X, ,X,³·À½
5/1/2026,ÃæÁÖ(127),X,21.4,23.9,15.7,8.6,46.6,X, ,X,³·À½
5/1/2026,¼­»ê(129),X,19.2,21.2,14.9,10.1,61.8,X, ,X,³·À½
5/1/2026,¿ïÁø(130),X,18.2,18.4,14,9.8,76.5,X, ,X,³·À½
5/1/2026,Ã»ÁÖ(131),X,21.1,23.7,16.9,10.8,43.6,X, ,X,³·À½
5/1/2026,´ëÀü(133),X,20.9,23.7,16.7,12,42.5,X, ,X,³·À½
5/1/2026,ÃßÇ³·É(135),X,19.9,22.2,14.7,7.6,49.5,X, ,X,³·À½
5/1/2026,¾Èµ¿(136),X,22.2,24.2,15.8,8.3,52.9,X, ,X,³·À½
5/1/2026,»óÁÖ(137),X,21.6,23.8,16.1,8.5,48.1,X, ,X,³·À½
5/1/2026,Æ÷Ç×(138),X,20.3,21,14.5,9.8,67.4,X, ,X,³·À½
5/1/2026,±º»ê(140),X,17,16.7,13.4,10.9,72.4,X, ,X,³·À½
5/1/2026,´ë±¸(143),X,21.6,24.6,16.4,9.8,50.4,X, ,X,³·À½
5/1/2026,ÀüÁÖ(146),X,19.6,21.1,15.3,10.8,55.5,X, ,X,³·À½
5/1/2026,¿ï»ê(152),X,20.4,22.6,15.5,9.7,57,X, ,X,³·À½
5/1/2026,Ã¢¿ø(155),X,22.2,24.4,16.6,9.2,53.1,X, ,X,³·À½
5/1/2026,±¤ÁÖ(156),X,20,22.4,16,10.3,49,X, ,X,³·À½
5/1/2026,ºÎ»ê(159),X,20.5,20.4,15.5,10.5,65.5,X, ,X,³·À½
5/1/2026,Åë¿µ(162),X,21.2,23.4,16.6,8.6,51.9,X, ,X,³·À½
5/1/2026,¸ñÆ÷(165),X,19.3,19,14.6,10.6,73.6,X, ,X,³·À½
5/1/2026,¿©¼ö(168),X,20.3,23,17.3,11.7,38.9,X, ,X,³·À½
5/1/2026,Èæ»êµµ(169),X,20.5,19.5,15.9,11.1,66.4,X, ,X,³·À½
5/1/2026,¿Ïµµ(170),X,21.1,22.7,16.8,10.9,54.1,X, ,X,³·À½
